UF;COD. UF;COD. MUNIC;NOME DO MUNICiPIO;populacao
RO;11;15;Alta Floresta D'Oeste;21.558
RO;11;23;Ariquemes;100.896
RO;11;31;Cabixi;5.107
RO;11;49;Cacoal;92.202
RO;11;56;Cerejeiras;15.237
RO;11;64;Colorado do Oeste;15.747
RO;11;72;Corumbiara;7.503
RO;11;80;Costa Marques;12.633
RO;11;98;Espigao D'Oeste;29.722
RO;11;106;Guajara-Mirim;39.396
RO;11;114;Jaru;52.090
RO;11;122;Ji-Parana;136.825
RO;11;130;Machadinho D'Oeste;30.626
RO;11;148;Nova Brasilandia D'Oeste;17.355
RO;11;155;Ouro Preto do Oeste;36.753
RO;11;189;Pimenta Bueno;37.464
RO;11;205;Porto Velho;461.748
RO;11;254;Presidente Medici;19.316
RO;11;262;Rio Crespo;3.476
RO;11;288;Rolim de Moura;57.180
RO;11;296;Santa Luzia D'Oeste;7.394
RO;11;304;Vilhena;95.599
RO;11;320;Sao Miguel do Guapore;21.612
RO;11;338;Nova Mamore;25.452
RO;11;346;Alvorada D'Oeste;13.092
RO;11;379;Alto Alegre dos Parecis;13.023
RO;11;403;Alto Paraiso;17.140
RO;11;452;Buritis;28.178
RO;11;502;Novo Horizonte do Oeste;7.653
RO;11;601;Cacaulandia;4.157
RO;11;700;Campo Novo de Rondonia;8.840
RO;11;809;Candeias do Jamari;22.564
RO;11;908;Castanheiras;3.269
RO;11;924;Chupinguaia;9.351
RO;11;940;Cujubim;14.338
RO;11;1005;Governador Jorge Teixeira;8.012
RO;11;1104;Itapua do Oeste;9.465
RO;11;1203;Ministro Andreazza;6.440
RO;11;1302;Mirante da Serra;9.200
RO;11;1401;Monte Negro;11.966
RO;11;1435;Nova Uniao;6.194
RO;11;1450;Parecis;3.953
RO;11;1468;Pimenteiras do Oeste;2.180
RO;11;1476;Primavera de Rondonia;3.071
RO;11;1484;Sao Felipe D'Oeste;5.259
RO;11;1492;Sao Francisco do Guapore;16.302
RO;11;1500;Seringueiras;11.183
RO;11;1559;Teixeiropolis;4.284
RO;11;1609;Theobroma;9.253
RO;11;1708;Urupa;10.828
RO;11;1757;Vale do Anari;7.806
RO;11;1807;Vale do Paraiso;6.487
AC;12;13;Acrelandia;12.707
AC;12;54;Assis Brasil;8.157
AC;12;104;Brasileia;25.786
AC;12;138;Bujari;11.962
AC;12;179;Capixaba;9.737
AC;12;203;Cruzeiro do Sul;94.345
AC;12;252;Epitaciolandia;18.697
AC;12;302;Feijo;35.035
AC;12;328;Jordao;11.105
AC;12;336;Mancio Lima;19.172
AC;12;344;Manoel Urbano;12.246
AC;12;351;Marechal Thaumaturgo;16.825
AC;12;385;Placido de Castro;16.313
AC;12;393;Porto Walter;10.706
AC;12;401;Rio Branco;364.368
AC;12;427;Rodrigues Alves;16.072
AC;12;435;Santa Rosa do Purus;7.672
AC;12;450;Senador Guiomard;21.658
AC;12;500;Sena Madureira;39.746
AC;12;609;Tarauaca;43.072
AC;12;708;Xapuri;18.181
AC;12;807;Porto Acre;16.218
AM;13;29;Alvaraes;15.916
AM;13;60;Amatura;10.814
AM;13;86;Anama;9.927
AM;13;102;Anori;17.052
AM;13;144;Apui;21.403
AM;13;201;Atalaia do Norte;15.440
AM;13;300;Autazes;41.672
AM;13;409;Barcelos;18.399
