order_item_id,created_at,order_id,price_usd,cogs_usd,website_session_id
1,"2012-03-19 10:42:46",1,49.99,19.49,20
2,"2012-03-19 19:27:37",2,49.99,19.49,104
3,"2012-03-20 06:44:45",3,49.99,19.49,147
4,"2012-03-20 09:41:45",4,49.99,19.49,160
5,"2012-03-20 11:28:15",5,49.99,19.49,177
6,"2012-03-20 16:12:47",6,49.99,19.49,232
7,"2012-03-20 17:03:41",7,49.99,19.49,241
8,"2012-03-20 23:35:27",8,49.99,19.49,295
9,"2012-03-21 02:35:01",9,49.99,19.49,304
10,"2012-03-21 06:45:58",10,49.99,19.49,317
11,"2012-03-21 07:28:02",11,49.99,19.49,321
12,"2012-03-21 08:21:33",12,49.99,19.49,327
13,"2012-03-21 08:45:32",13,49.99,19.49,332
14,"2012-03-21 09:12:05",14,49.99,19.49,336
15,"2012-03-21 16:40:06",15,49.99,19.49,428
16,"2012-03-21 17:13:05",16,49.99,19.49,434
17,"2012-03-21 20:28:11",17,49.99,19.49,465
18,"2012-03-22 06:15:33",18,49.99,19.49,507
19,"2012-03-22 10:03:49",19,49.99,19.49,536
20,"2012-03-22 17:49:57",20,49.99,19.49,615
21,"2012-03-22 20:33:40",21,49.99,19.49,639
22,"2012-03-23 12:09:46",22,49.99,19.49,732
23,"2012-03-23 14:16:23",23,49.99,19.49,750
24,"2012-03-23 17:14:48",24,49.99,19.49,783
25,"2012-03-24 09:21:40",25,49.99,19.49,844
26,"2012-03-25 08:32:41",26,49.99,19.49,908
27,"2012-03-25 08:51:27",27,49.99,19.49,909
28,"2012-03-25 16:00:12",28,49.99,19.49,940
29,"2012-03-25 21:23:16",29,49.99,19.49,954
30,"2012-03-26 10:03:39",30,49.99,19.49,1018
31,"2012-03-26 10:25:44",31,49.99,19.49,1023
32,"2012-03-26 14:13:56",32,49.99,19.49,1059
33,"2012-03-26 16:00:19",33,49.99,19.49,1081
34,"2012-03-26 17:55:25",34,49.99,19.49,1094
35,"2012-03-26 18:06:39",35,49.99,19.49,1098
36,"2012-03-26 18:54:41",36,49.99,19.49,1105
37,"2012-03-26 19:19:25",37,49.99,19.49,1107
38,"2012-03-26 21:13:07",38,49.99,19.49,1125
39,"2012-03-27 15:18:43",39,49.99,19.49,1243
40,"2012-03-27 16:53:30",40,49.99,19.49,1256
41,"2012-03-28 08:30:06",41,49.99,19.49,1330
42,"2012-03-28 09:56:58",42,49.99,19.49,1343
43,"2012-03-28 16:55:52",43,49.99,19.49,1419
44,"2012-03-28 21:24:10",44,49.99,19.49,1454
45,"2012-03-28 22:45:52",45,49.99,19.49,1463
46,"2012-03-29 16:11:05",46,49.99,19.49,1581
47,"2012-03-29 17:49:07",47,49.99,19.49,1605
48,"2012-03-29 23:09:30",48,49.99,19.49,1643
49,"2012-03-30 00:25:18",49,49.99,19.49,1646
50,"2012-03-30 02:27:35",50,49.99,19.49,1654
51,"2012-03-30 10:06:25",51,49.99,19.49,1685
52,"2012-03-30 10:24:06",52,49.99,19.49,1691
53,"2012-03-30 12:47:30",53,49.99,19.49,1709
54,"2012-03-30 14:26:49",54,49.99,19.49,1726
55,"2012-03-30 14:39:09",55,49.99,19.49,1729
56,"2012-03-31 00:22:18",56,49.99,19.49,1790
57,"2012-03-31 02:32:43",57,49.99,19.49,1802
58,"2012-03-31 06:40:10",58,49.99,19.49,1807
59,"2012-03-31 10:25:39",59,49.99,19.49,1823
60,"2012-03-31 19:24:33",60,49.99,19.49,1863
