order_item_refund_id,created_at,order_item_id,order_id,refund_amount_usd
323,"2013-07-01 03:30:09",5387,5387,49.99
324,"2013-07-01 05:03:02",5531,5531,49.99
325,"2013-07-01 09:39:51",5523,5523,49.99
326,"2013-07-02 00:22:22",5518,5518,49.99
327,"2013-07-03 10:54:35",5412,5412,49.99
328,"2013-07-03 13:20:48",5565,5565,49.99
329,"2013-07-03 13:41:28",5323,5323,49.99
330,"2013-07-03 15:47:22",5390,5390,49.99
331,"2013-07-03 18:05:11",5462,5462,49.99
332,"2013-07-04 02:35:37",5408,5408,49.99
333,"2013-07-05 01:53:10",5430,5430,49.99
334,"2013-07-06 08:00:18",5474,5474,49.99
335,"2013-07-07 02:47:17",5496,5496,49.99
336,"2013-07-07 12:52:59",5569,5569,49.99
337,"2013-07-07 14:19:04",5405,5405,49.99
338,"2013-07-07 14:20:14",5586,5586,49.99
339,"2013-07-08 03:47:14",5574,5574,49.99
340,"2013-07-08 13:37:13",5616,5616,49.99
341,"2013-07-09 04:00:26",5451,5451,49.99
342,"2013-07-09 06:03:54",5635,5635,49.99
343,"2013-07-11 08:00:23",5631,5631,49.99
344,"2013-07-11 15:40:05",5663,5663,49.99
345,"2013-07-12 07:03:01",5700,5700,49.99
346,"2013-07-12 21:00:18",5712,5712,49.99
347,"2013-07-13 09:03:42",5607,5607,49.99
348,"2013-07-14 08:59:52",5576,5576,49.99
349,"2013-07-14 13:17:21",5683,5683,49.99
350,"2013-07-15 19:22:51",5746,5746,49.99
351,"2013-07-16 07:11:22",5578,5578,49.99
352,"2013-07-18 22:37:28",5843,5843,49.99
353,"2013-07-21 01:03:30",5650,5650,49.99
354,"2013-07-22 00:53:45",5696,5696,49.99
355,"2013-07-22 13:38:00",5750,5750,59.99
356,"2013-07-22 16:36:14",5906,5906,49.99
357,"2013-07-23 00:18:57",5847,5847,59.99
358,"2013-07-25 09:25:06",5863,5863,49.99
359,"2013-07-25 12:16:05",5802,5802,49.99
360,"2013-07-25 12:44:57",5855,5855,49.99
361,"2013-07-26 07:06:30",5799,5799,49.99
362,"2013-07-27 06:08:09",6031,6031,49.99
363,"2013-07-27 23:29:03",5914,5914,49.99
364,"2013-07-28 22:35:52",5865,5865,49.99
365,"2013-07-29 14:16:47",5938,5938,49.99
366,"2013-07-29 22:14:12",5946,5946,49.99
367,"2013-07-31 17:11:21",6074,6074,49.99
368,"2013-08-01 13:54:53",6047,6047,49.99
369,"2013-08-02 14:28:00",6158,6158,49.99
370,"2013-08-05 03:29:38",6054,6054,49.99
371,"2013-08-05 06:30:01",5933,5933,49.99
372,"2013-08-06 15:56:00",5993,5993,59.99
373,"2013-08-06 23:05:29",6052,6052,49.99
374,"2013-08-07 03:10:48",6139,6139,49.99
375,"2013-08-07 17:43:55",6195,6195,49.99
376,"2013-08-07 18:48:18",6075,6075,49.99
377,"2013-08-08 01:45:45",6059,6059,49.99
378,"2013-08-08 05:48:27",6008,6008,49.99
379,"2013-08-09 02:05:49",6269,6269,49.99
380,"2013-08-09 18:01:49",6110,6110,49.99
381,"2013-08-11 08:49:18",6226,6226,49.99
382,"2013-08-11 21:31:12",6247,6247,49.99
383,"2013-08-12 11:23:39",6251,6251,49.99
384,"2013-08-13 19:22:24",6324,6324,49.99
385,"2013-08-13 19:29:10",6103,6103,49.99
386,"2013-08-14 20:55:50",6173,6173,49.99
387,"2013-08-16 18:07:02",6215,6215,49.99
388,"2013-08-17 11:59:12",6244,6244,49.99
389,"2013-08-18 14:43:24",6395,6395,59.99
390,"2013-08-19 00:45:32",6387,6387,49.99
391,"2013-08-19 06:11:14",6259,6259,49.99
392,"2013-08-19 10:30:02",6273,6273,49.99
393,"2013-08-19 20:05:36",6421,6421,49.99
394,"2013-08-20 01:34:58",6302,6302,49.99
395,"2013-08-23 11:30:59",6355,6355,49.99
396,"2013-08-23 20:08:02",6432,6432,49.99
397,"2013-08-25 14:35:51",6528,6528,49.99
398,"2013-08-25 18:27:06",6465,6465,49.99
399,"2013-08-26 18:26:33",6461,6461,49.99
400,"2013-08-27 07:05:51",6634,6634,49.99
401,"2013-08-29 04:21:52",6451,6451,49.99
402,"2013-08-29 12:26:24",6526,6526,49.99
403,"2013-09-01 04:47:41",6504,6504,49.99
404,"2013-09-02 21:26:40",6589,6589,49.99
405,"2013-09-03 11:29:38",6627,6627,49.99
406,"2013-09-07 08:56:46",6758,6758,49.99
407,"2013-09-08 06:13:39",6721,6721,49.99
408,"2013-09-10 12:36:17",6805,6805,49.99
409,"2013-09-11 03:49:15",6743,6743,49.99
410,"2013-09-11 23:05:44",6882,6882,49.99
411,"2013-09-12 02:42:44",6899,6899,49.99
412,"2013-09-13 18:33:40",6943,6943,49.99
413,"2013-09-14 01:52:27",6750,6750,49.99
414,"2013-09-16 20:39:05",6940,6940,49.99
415,"2013-09-16 22:24:02",6825,6825,49.99
416,"2013-09-17 16:28:33",6865,6865,49.99
417,"2013-09-17 20:47:53",7009,7009,49.99
418,"2013-09-18 13:29:48",6991,6991,49.99
419,"2013-09-19 18:39:21",7035,7035,49.99
420,"2013-09-20 14:30:00",6947,6947,49.99
421,"2013-09-21 22:18:54",6952,6952,49.99
422,"2013-09-22 23:10:26",6981,6981,49.99
423,"2013-09-23 03:03:26",6999,6999,49.99
424,"2013-09-25 05:22:44",7154,7154,49.99
425,"2013-09-26 20:43:33",7250,7250,49.99
426,"2013-09-30 01:36:47",7077,7077,49.99
427,"2013-10-02 03:32:38",7230,7230,49.99
428,"2013-10-02 19:43:28",7354,7351,59.99
429,"2013-10-04 22:30:49",7164,7164,49.99
430,"2013-10-04 23:06:47",7192,7192,49.99
