order_item_id,created_at,order_id,price_usd,cogs_usd,website_session_id,product_id,is_primary_item
10200,"2014-01-01 00:46:30",10034,49.99,19.49,175255,1,1
10201,"2014-01-01 02:17:23",10035,49.99,19.49,175268,1,1
10202,"2014-01-01 03:22:54",10036,59.99,22.49,175279,2,1
10203,"2014-01-01 05:20:50",10037,49.99,19.49,175292,1,1
10204,"2014-01-01 07:06:48",10038,45.99,14.49,175306,3,1
10205,"2014-01-01 07:28:40",10039,49.99,19.49,175311,1,1
10206,"2014-01-01 08:03:54",10040,59.99,22.49,175320,2,1
10207,"2014-01-01 08:13:21",10041,45.99,14.49,175323,3,1
10208,"2014-01-01 08:28:42",10042,49.99,19.49,175327,1,1
10209,"2014-01-01 09:31:20",10043,49.99,19.49,175342,1,1
10210,"2014-01-01 09:57:43",10044,49.99,19.49,175353,1,1
10211,"2014-01-01 10:10:14",10045,49.99,19.49,175359,1,1
10212,"2014-01-01 10:27:32",10046,49.99,19.49,175368,1,1
10213,"2014-01-01 10:27:45",10047,49.99,19.49,175367,1,1
10214,"2014-01-01 10:38:39",10048,49.99,19.49,175379,1,1
10215,"2014-01-01 10:40:10",10049,49.99,19.49,175383,1,1
10216,"2014-01-01 11:41:28",10050,49.99,19.49,175422,1,1
10217,"2014-01-01 11:48:06",10051,45.99,14.49,175434,3,1
10218,"2014-01-01 11:48:06",10051,49.99,19.49,175434,1,0
10219,"2014-01-01 12:51:33",10052,49.99,19.49,175475,1,1
10220,"2014-01-01 13:00:59",10053,49.99,19.49,175483,1,1
10221,"2014-01-01 13:02:21",10054,59.99,22.49,175479,2,1
10222,"2014-01-01 14:50:02",10055,49.99,19.49,175529,1,1
10223,"2014-01-01 14:50:02",10055,45.99,14.49,175529,3,0
10224,"2014-01-01 15:28:49",10056,49.99,19.49,175546,1,1
10225,"2014-01-01 15:28:49",10056,45.99,14.49,175546,3,0
10226,"2014-01-01 15:30:05",10057,59.99,22.49,175554,2,1
10227,"2014-01-01 15:40:42",10058,59.99,22.49,175558,2,1
10228,"2014-01-01 15:51:00",10059,49.99,19.49,175560,1,1
10229,"2014-01-01 15:51:00",10059,59.99,22.49,175560,2,0
10230,"2014-01-01 16:05:52",10060,49.99,19.49,175566,1,1
10231,"2014-01-01 16:26:09",10061,59.99,22.49,175581,2,1
10232,"2014-01-01 17:39:45",10062,49.99,19.49,175616,1,1
10233,"2014-01-01 18:12:11",10063,49.99,19.49,175622,1,1
10234,"2014-01-01 19:00:05",10064,49.99,19.49,175639,1,1
10235,"2014-01-01 19:00:05",10064,45.99,14.49,175639,3,0
10236,"2014-01-01 19:05:10",10065,49.99,19.49,175638,1,1
10237,"2014-01-01 19:16:36",10066,45.99,14.49,175641,3,1
10238,"2014-01-01 20:52:12",10067,49.99,19.49,175674,1,1
10239,"2014-01-01 21:08:38",10068,49.99,19.49,175683,1,1
10240,"2014-01-01 21:34:47",10069,49.99,19.49,175694,1,1
10241,"2014-01-01 22:52:12",10070,49.99,19.49,175719,1,1
10242,"2014-01-01 23:21:46",10071,49.99,19.49,175728,1,1
10243,"2014-01-01 23:24:56",10072,59.99,22.49,175732,2,1
10244,"2014-01-01 23:35:42",10073,49.99,19.49,175735,1,1
10245,"2014-01-02 03:28:05",10074,45.99,14.49,175782,3,1
10246,"2014-01-02 06:16:23",10075,49.99,19.49,175802,1,1
10247,"2014-01-02 07:26:35",10076,49.99,19.49,175812,1,1
10248,"2014-01-02 08:05:14",10077,49.99,19.49,175820,1,1
10249,"2014-01-02 08:05:14",10077,59.99,22.49,175820,2,0
10250,"2014-01-02 08:24:33",10078,59.99,22.49,175823,2,1
10251,"2014-01-02 09:21:06",10079,49.99,19.49,175851,1,1
10252,"2014-01-02 09:21:51",10080,45.99,14.49,175853,3,1
10253,"2014-01-02 09:21:51",10080,49.99,19.49,175853,1,0
10254,"2014-01-02 11:02:37",10081,45.99,14.49,175896,3,1
10255,"2014-01-02 11:38:25",10082,49.99,19.49,175915,1,1
10256,"2014-01-02 12:29:53",10083,49.99,19.49,175934,1,1
10257,"2014-01-02 12:36:44",10084,49.99,19.49,175947,1,1
10258,"2014-01-02 12:36:44",10084,45.99,14.49,175947,3,0
