website_session_id,created_at,user_id,is_repeat_session,utm_source,utm_campaign,utm_content,device_type,http_referer
175252,"2014-01-01 00:00:09",152826,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
175253,"2014-01-01 00:03:26",152827,0,NULL,NULL,NULL,desktop,NULL
175254,"2014-01-01 00:26:21",152828,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
175255,"2014-01-01 00:31:12",124354,1,NULL,NULL,NULL,desktop,https://www.gsearch.com
175256,"2014-01-01 00:37:35",152829,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
175257,"2014-01-01 00:41:11",152830,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
175258,"2014-01-01 00:44:49",152831,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
175259,"2014-01-01 00:48:18",152832,0,NULL,NULL,NULL,mobile,NULL
175260,"2014-01-01 00:57:47",152833,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
175261,"2014-01-01 01:02:43",152834,0,bsearch,nonbrand,b_ad_1,mobile,https://www.bsearch.com
175262,"2014-01-01 01:13:57",152835,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
175263,"2014-01-01 01:29:35",152836,0,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
175264,"2014-01-01 01:36:26",152837,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
175265,"2014-01-01 01:39:49",124650,1,NULL,NULL,NULL,desktop,https://www.gsearch.com
175266,"2014-01-01 01:50:54",152838,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
175267,"2014-01-01 01:59:37",152839,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
175268,"2014-01-01 02:03:50",138766,1,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
175269,"2014-01-01 02:04:15",152840,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
175270,"2014-01-01 02:13:15",121038,1,bsearch,brand,b_ad_2,mobile,https://www.bsearch.com
175271,"2014-01-01 02:36:13",152841,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
175272,"2014-01-01 02:39:48",152842,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
175273,"2014-01-01 02:42:03",152843,0,NULL,NULL,NULL,desktop,NULL
175274,"2014-01-01 02:45:36",152844,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
175275,"2014-01-01 02:45:36",152845,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
175276,"2014-01-01 02:45:40",152846,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
175277,"2014-01-01 02:46:04",152847,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
175278,"2014-01-01 02:50:51",152848,0,NULL,NULL,NULL,mobile,https://www.gsearch.com
175279,"2014-01-01 03:10:33",152849,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
