website_pageview_id,created_at,website_session_id,pageview_url
451521,"2014-02-01 00:01:08",190076,/the-forever-love-bear
451522,"2014-02-01 00:03:21",190076,/cart
451523,"2014-02-01 00:06:04",190076,/shipping
451524,"2014-02-01 00:06:35",190076,/billing-2
451525,"2014-02-01 00:07:16",190077,/lander-2
451526,"2014-02-01 00:08:14",190076,/thank-you-for-your-order
451527,"2014-02-01 00:11:11",190078,/home
451528,"2014-02-01 00:11:32",190079,/lander-3
451529,"2014-02-01 00:12:16",190078,/products
451530,"2014-02-01 00:13:26",190078,/the-original-mr-fuzzy
451531,"2014-02-01 00:16:18",190080,/lander-2
451532,"2014-02-01 00:20:17",190080,/products
451533,"2014-02-01 00:20:47",190081,/home
451534,"2014-02-01 00:22:02",190082,/lander-2
451535,"2014-02-01 00:24:46",190080,/the-original-mr-fuzzy
451536,"2014-02-01 00:25:11",190083,/home
451537,"2014-02-01 00:25:33",190082,/products
451538,"2014-02-01 00:26:33",190082,/the-original-mr-fuzzy
451539,"2014-02-01 00:28:12",190083,/products
451540,"2014-02-01 00:30:24",190084,/home
451541,"2014-02-01 00:31:04",190084,/products
451542,"2014-02-01 00:32:45",190083,/the-original-mr-fuzzy
451543,"2014-02-01 00:32:54",190084,/the-original-mr-fuzzy
451544,"2014-02-01 00:34:11",190083,/cart
451545,"2014-02-01 00:36:17",190085,/lander-2
451546,"2014-02-01 00:39:19",190086,/lander-3
451547,"2014-02-01 00:39:44",190087,/lander-2
451548,"2014-02-01 00:41:05",190087,/products
451549,"2014-02-01 00:41:59",190085,/products
451550,"2014-02-01 00:42:31",190087,/the-original-mr-fuzzy
451551,"2014-02-01 00:46:04",190085,/the-original-mr-fuzzy
451552,"2014-02-01 00:56:04",190088,/home
451553,"2014-02-01 00:59:43",190088,/products
451554,"2014-02-01 01:09:44",190089,/lander-3
451555,"2014-02-01 01:11:01",190089,/products
451556,"2014-02-01 01:14:49",190090,/lander-3
451557,"2014-02-01 01:19:02",190091,/home
451558,"2014-02-01 01:23:29",190091,/products
451559,"2014-02-01 01:23:40",190092,/lander-2
451560,"2014-02-01 01:25:08",190093,/home
451561,"2014-02-01 01:26:59",190091,/the-original-mr-fuzzy
451562,"2014-02-01 01:43:03",190094,/home
451563,"2014-02-01 01:48:24",190094,/products
451564,"2014-02-01 01:49:12",190095,/lander-2
451565,"2014-02-01 01:52:06",190096,/home
451566,"2014-02-01 01:52:33",190094,/the-original-mr-fuzzy
451567,"2014-02-01 01:53:13",190097,/home
451568,"2014-02-01 01:53:56",190096,/products
451569,"2014-02-01 01:55:03",190096,/the-original-mr-fuzzy
451570,"2014-02-01 01:56:15",190094,/cart
451571,"2014-02-01 01:56:18",190097,/products
451572,"2014-02-01 01:56:35",190094,/shipping
451573,"2014-02-01 01:56:39",190098,/lander-3
451574,"2014-02-01 01:57:01",190094,/billing-2
451575,"2014-02-01 01:58:03",190097,/the-birthday-sugar-panda
451576,"2014-02-01 02:00:41",190098,/products
451577,"2014-02-01 02:10:45",190099,/home
451578,"2014-02-01 02:10:56",190100,/lander-2
451579,"2014-02-01 02:18:25",190101,/lander-2
451580,"2014-02-01 02:23:04",190102,/home
451581,"2014-02-01 02:25:40",190103,/lander-3
451582,"2014-02-01 02:26:50",190102,/products
451583,"2014-02-01 02:27:20",190104,/lander-3
451584,"2014-02-01 02:27:33",190102,/the-original-mr-fuzzy
451585,"2014-02-01 02:28:12",190103,/products
451586,"2014-02-01 02:30:44",190103,/the-original-mr-fuzzy
451587,"2014-02-01 02:34:11",190105,/lander-2
451588,"2014-02-01 02:36:30",190105,/products
451589,"2014-02-01 02:37:54",190105,/the-original-mr-fuzzy
451590,"2014-02-01 02:43:49",190106,/lander-2
451591,"2014-02-01 02:46:33",190106,/products
451592,"2014-02-01 02:50:07",190106,/the-original-mr-fuzzy
451593,"2014-02-01 02:53:00",190106,/cart
451594,"2014-02-01 02:53:22",190106,/shipping
451595,"2014-02-01 02:56:31",190106,/billing-2
451596,"2014-02-01 03:04:59",190107,/lander-3
451597,"2014-02-01 03:05:07",190108,/lander-2
451598,"2014-02-01 03:08:03",190109,/home
451599,"2014-02-01 03:09:13",190109,/products
451600,"2014-02-01 03:11:25",190110,/home
451601,"2014-02-01 03:13:45",190109,/the-original-mr-fuzzy
451602,"2014-02-01 03:16:38",190109,/cart
451603,"2014-02-01 03:17:09",190109,/shipping
451604,"2014-02-01 03:19:35",190109,/billing-2
451605,"2014-02-01 03:23:16",190109,/thank-you-for-your-order
451606,"2014-02-01 03:27:32",190111,/lander-3
451607,"2014-02-01 03:47:42",190112,/lander-2
451608,"2014-02-01 03:48:47",190113,/lander-3
451609,"2014-02-01 03:50:41",190114,/lander-2
451610,"2014-02-01 03:52:22",190112,/products
451611,"2014-02-01 03:55:14",190112,/the-forever-love-bear
451612,"2014-02-01 03:55:14",190115,/lander-2
451613,"2014-02-01 03:56:09",190115,/products
451614,"2014-02-01 03:56:39",190115,/the-original-mr-fuzzy
451615,"2014-02-01 03:56:57",190112,/cart
451616,"2014-02-01 03:58:04",190112,/shipping
451617,"2014-02-01 03:59:50",190115,/cart
451618,"2014-02-01 04:01:59",190116,/home
451619,"2014-02-01 04:02:38",190117,/home
451620,"2014-02-01 04:03:34",190115,/shipping
451621,"2014-02-01 04:04:23",190118,/lander-2
451622,"2014-02-01 04:05:59",190115,/billing-2
451623,"2014-02-01 04:08:28",190115,/thank-you-for-your-order
451624,"2014-02-01 04:08:36",190119,/lander-2
451625,"2014-02-01 04:08:43",190118,/products
451626,"2014-02-01 04:11:13",190118,/the-original-mr-fuzzy
451627,"2014-02-01 04:13:24",190119,/products
451628,"2014-02-01 04:14:07",190120,/lander-2
451629,"2014-02-01 04:14:15",190118,/cart
451630,"2014-02-01 04:14:52",190118,/shipping
451631,"2014-02-01 04:15:19",190119,/the-original-mr-fuzzy
451632,"2014-02-01 04:16:22",190118,/billing-2
451633,"2014-02-01 04:17:11",190118,/thank-you-for-your-order
451634,"2014-02-01 04:19:08",190120,/products
451635,"2014-02-01 04:20:56",190120,/the-original-mr-fuzzy
451636,"2014-02-01 04:22:07",190121,/lander-3
451637,"2014-02-01 04:22:28",190120,/cart
451638,"2014-02-01 04:24:47",190120,/shipping
451639,"2014-02-01 04:31:00",190122,/lander-3
451640,"2014-02-01 04:31:42",190122,/products
451641,"2014-02-01 04:43:14",190123,/home
451642,"2014-02-01 04:48:08",190123,/products
451643,"2014-02-01 04:51:07",190123,/the-forever-love-bear
451644,"2014-02-01 04:52:55",190123,/cart
451645,"2014-02-01 04:55:19",190124,/lander-2
451646,"2014-02-01 04:58:28",190124,/products
451647,"2014-02-01 04:58:57",190124,/the-original-mr-fuzzy
451648,"2014-02-01 05:02:58",190124,/cart
451649,"2014-02-01 05:03:27",190125,/home
451650,"2014-02-01 05:05:11",190124,/shipping
451651,"2014-02-01 05:07:27",190126,/lander-2
451652,"2014-02-01 05:28:33",190127,/home
451653,"2014-02-01 05:32:59",190128,/lander-3
451654,"2014-02-01 05:44:38",190129,/lander-2
451655,"2014-02-01 06:23:12",190130,/home
451656,"2014-02-01 06:27:57",190130,/products
451657,"2014-02-01 06:29:13",190131,/lander-2
451658,"2014-02-01 06:38:13",190132,/home
451659,"2014-02-01 06:38:44",190133,/home
451660,"2014-02-01 06:39:43",190133,/products
451661,"2014-02-01 06:41:47",190133,/the-birthday-sugar-panda
451662,"2014-02-01 06:45:06",190133,/cart
451663,"2014-02-01 06:48:56",190133,/shipping
451664,"2014-02-01 06:51:49",190133,/billing-2
451665,"2014-02-01 06:53:07",190133,/thank-you-for-your-order
451666,"2014-02-01 06:55:05",190134,/lander-3
451667,"2014-02-01 07:00:33",190135,/home
451668,"2014-02-01 07:10:59",190136,/lander-2
451669,"2014-02-01 07:12:52",190136,/products
451670,"2014-02-01 07:17:04",190136,/the-original-mr-fuzzy
451671,"2014-02-01 07:19:50",190137,/lander-2
451672,"2014-02-01 07:21:56",190137,/products
451673,"2014-02-01 07:23:14",190137,/the-original-mr-fuzzy
451674,"2014-02-01 07:23:41",190137,/cart
451675,"2014-02-01 07:29:39",190138,/lander-2
451676,"2014-02-01 07:30:23",190139,/lander-2
451677,"2014-02-01 07:33:48",190140,/lander-2
451678,"2014-02-01 07:34:20",190139,/products
451679,"2014-02-01 07:34:46",190140,/products
451680,"2014-02-01 07:35:36",190141,/lander-2
451681,"2014-02-01 07:36:47",190139,/the-original-mr-fuzzy
451682,"2014-02-01 07:38:27",190140,/the-original-mr-fuzzy
451683,"2014-02-01 07:39:36",190139,/cart
451684,"2014-02-01 07:40:29",190142,/lander-3
451685,"2014-02-01 07:40:59",190139,/shipping
451686,"2014-02-01 07:41:46",190139,/billing-2
451687,"2014-02-01 07:43:51",190143,/lander-3
451688,"2014-02-01 07:45:17",190139,/thank-you-for-your-order
451689,"2014-02-01 07:47:51",190144,/lander-2
451690,"2014-02-01 07:53:14",190144,/products
451691,"2014-02-01 07:53:39",190145,/lander-2
451692,"2014-02-01 07:54:27",190145,/products
451693,"2014-02-01 07:55:14",190144,/the-original-mr-fuzzy
451694,"2014-02-01 07:56:37",190144,/cart
451695,"2014-02-01 07:56:49",190146,/home
451696,"2014-02-01 07:57:35",190145,/the-original-mr-fuzzy
451697,"2014-02-01 07:59:17",190145,/cart
451698,"2014-02-01 08:01:05",190147,/lander-2
451699,"2014-02-01 08:01:35",190145,/shipping
451700,"2014-02-01 08:02:20",190145,/billing-2
451701,"2014-02-01 08:07:27",190148,/lander-2
451702,"2014-02-01 08:13:00",190148,/products
451703,"2014-02-01 08:13:34",190148,/the-original-mr-fuzzy
451704,"2014-02-01 08:20:04",190149,/lander-3
451705,"2014-02-01 08:22:02",190150,/lander-3
451706,"2014-02-01 08:24:27",190151,/lander-2
451707,"2014-02-01 08:25:10",190152,/home
451708,"2014-02-01 08:30:44",190152,/products
451709,"2014-02-01 08:32:45",190152,/the-original-mr-fuzzy
451710,"2014-02-01 08:45:57",190153,/lander-2
451711,"2014-02-01 08:46:19",190154,/lander-2
451712,"2014-02-01 08:48:38",190154,/products
451713,"2014-02-01 08:52:20",190154,/the-birthday-sugar-panda
451714,"2014-02-01 08:52:50",190155,/lander-2
451715,"2014-02-01 08:56:16",190154,/cart
451716,"2014-02-01 08:57:25",190155,/products
451717,"2014-02-01 08:57:27",190156,/lander-3
451718,"2014-02-01 08:59:42",190154,/shipping
451719,"2014-02-01 09:00:48",190154,/billing-2
451720,"2014-02-01 09:00:49",190155,/the-birthday-sugar-panda
451721,"2014-02-01 09:03:30",190154,/thank-you-for-your-order
451722,"2014-02-01 09:03:49",190157,/lander-3
451723,"2014-02-01 09:04:02",190158,/lander-2
451724,"2014-02-01 09:04:34",190158,/products
451725,"2014-02-01 09:05:48",190158,/the-original-mr-fuzzy
451726,"2014-02-01 09:14:49",190159,/lander-2
451727,"2014-02-01 09:18:10",190160,/lander-2
451728,"2014-02-01 09:18:16",190161,/lander-2
451729,"2014-02-01 09:19:12",190162,/lander-2
451730,"2014-02-01 09:19:27",190159,/products
451731,"2014-02-01 09:20:10",190163,/lander-3
451732,"2014-02-01 09:20:46",190164,/home
451733,"2014-02-01 09:21:21",190163,/products
451734,"2014-02-01 09:21:56",190160,/products
451735,"2014-02-01 09:21:57",190165,/lander-3
451736,"2014-02-01 09:23:07",190160,/the-original-mr-fuzzy
451737,"2014-02-01 09:24:01",190159,/the-birthday-sugar-panda
451738,"2014-02-01 09:26:12",190165,/products
451739,"2014-02-01 09:27:01",190165,/the-original-mr-fuzzy
451740,"2014-02-01 09:27:12",190159,/cart
451741,"2014-02-01 09:27:32",190166,/lander-3
451742,"2014-02-01 09:30:45",190165,/cart
451743,"2014-02-01 09:33:29",190165,/shipping
451744,"2014-02-01 09:36:26",190165,/billing-2
451745,"2014-02-01 09:36:53",190167,/home
451746,"2014-02-01 09:37:51",190167,/products
451747,"2014-02-01 09:38:09",190167,/the-original-mr-fuzzy
451748,"2014-02-01 09:39:30",190167,/cart
451749,"2014-02-01 09:42:32",190167,/shipping
451750,"2014-02-01 09:44:51",190167,/billing-2
451751,"2014-02-01 09:47:26",190168,/home
451752,"2014-02-01 09:48:28",190169,/home
451753,"2014-02-01 09:49:05",190168,/products
451754,"2014-02-01 09:53:18",190170,/lander-3
451755,"2014-02-01 09:53:23",190171,/lander-3
451756,"2014-02-01 09:54:05",190169,/products
