order_item_id,created_at,order_id,price_usd,cogs_usd,website_session_id,product_id,is_primary_item
12659,"2014-03-01 00:01:17",12037,49.99,19.49,206360,1,1
12660,"2014-03-01 00:01:17",12037,29.99,9.49,206360,4,0
12661,"2014-03-01 00:58:29",12038,45.99,14.49,206371,3,1
12662,"2014-03-01 01:24:13",12039,45.99,14.49,206379,3,1
12663,"2014-03-01 02:04:37",12040,49.99,19.49,206384,1,1
12664,"2014-03-01 02:33:12",12041,49.99,19.49,206389,1,1
12665,"2014-03-01 05:47:45",12042,49.99,19.49,206412,1,1
12666,"2014-03-01 05:47:45",12042,29.99,9.49,206412,4,0
12667,"2014-03-01 08:42:11",12043,49.99,19.49,206435,1,1
12668,"2014-03-01 08:42:11",12043,45.99,14.49,206435,3,0
12669,"2014-03-01 09:15:19",12044,49.99,19.49,206443,1,1
12670,"2014-03-01 09:26:40",12045,49.99,19.49,206446,1,1
12671,"2014-03-01 10:31:15",12046,49.99,19.49,206470,1,1
12672,"2014-03-01 10:31:15",12046,29.99,9.49,206470,4,0
12673,"2014-03-01 11:00:56",12047,49.99,19.49,206483,1,1
12674,"2014-03-01 11:40:05",12048,49.99,19.49,206506,1,1
12675,"2014-03-01 12:18:21",12049,59.99,22.49,206510,2,1
12676,"2014-03-01 12:18:21",12049,29.99,9.49,206510,4,0
12677,"2014-03-01 16:26:03",12050,49.99,19.49,206573,1,1
12678,"2014-03-01 18:47:27",12051,49.99,19.49,206605,1,1
12679,"2014-03-01 18:47:27",12051,29.99,9.49,206605,4,0
12680,"2014-03-01 18:56:02",12052,49.99,19.49,206606,1,1
12681,"2014-03-01 19:47:46",12053,45.99,14.49,206620,3,1
12682,"2014-03-01 19:47:46",12053,59.99,22.49,206620,2,0
12683,"2014-03-01 20:34:42",12054,59.99,22.49,206626,2,1
12684,"2014-03-01 20:36:00",12055,49.99,19.49,206625,1,1
12685,"2014-03-01 20:36:00",12055,45.99,14.49,206625,3,0
12686,"2014-03-01 23:03:06",12056,45.99,14.49,206649,3,1
12687,"2014-03-02 00:06:51",12057,59.99,22.49,206657,2,1
12688,"2014-03-02 00:27:01",12058,49.99,19.49,206660,1,1
12689,"2014-03-02 00:27:01",12058,45.99,14.49,206660,3,0
12690,"2014-03-02 01:10:25",12059,49.99,19.49,206666,1,1
12691,"2014-03-02 01:10:25",12059,59.99,22.49,206666,2,0
12692,"2014-03-02 04:41:20",12060,49.99,19.49,206688,1,1
12693,"2014-03-02 11:02:59",12061,45.99,14.49,206757,3,1
12694,"2014-03-02 11:48:28",12062,49.99,19.49,206770,1,1
12695,"2014-03-02 13:01:07",12063,45.99,14.49,206786,3,1
12696,"2014-03-02 14:17:27",12064,49.99,19.49,206807,1,1
12697,"2014-03-02 14:35:21",12065,49.99,19.49,206815,1,1
12698,"2014-03-02 14:35:21",12065,29.99,9.49,206815,4,0
12699,"2014-03-02 15:19:40",12066,45.99,14.49,206835,3,1
12700,"2014-03-02 18:01:50",12067,49.99,19.49,206882,1,1
12701,"2014-03-02 18:04:26",12068,49.99,19.49,206880,1,1
12702,"2014-03-02 18:04:26",12068,29.99,9.49,206880,4,0
12703,"2014-03-02 18:39:19",12069,49.99,19.49,206888,1,1
12704,"2014-03-02 19:56:21",12070,49.99,19.49,206911,1,1
12705,"2014-03-02 20:12:51",12071,59.99,22.49,206912,2,1
12706,"2014-03-02 22:30:13",12072,49.99,19.49,206949,1,1
12707,"2014-03-02 22:30:13",12072,45.99,14.49,206949,3,0
12708,"2014-03-02 22:51:00",12073,49.99,19.49,206955,1,1
12709,"2014-03-02 23:48:30",12074,49.99,19.49,206979,1,1
12710,"2014-03-02 23:48:30",12074,29.99,9.49,206979,4,0
