website_session_id,created_at,user_id,is_repeat_session,utm_source,utm_campaign,utm_content,device_type,http_referer
222031,"2014-04-01 00:03:15",152757,1,NULL,NULL,NULL,desktop,NULL
222032,"2014-04-01 00:06:13",191530,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222033,"2014-04-01 00:12:20",191531,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222034,"2014-04-01 00:15:18",191532,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222035,"2014-04-01 00:17:25",191533,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222036,"2014-04-01 00:20:57",191534,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222037,"2014-04-01 00:23:31",163332,1,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
222038,"2014-04-01 00:32:46",172974,1,NULL,NULL,NULL,mobile,https://www.gsearch.com
222039,"2014-04-01 00:36:04",191535,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222040,"2014-04-01 00:39:42",191536,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222041,"2014-04-01 00:48:57",191537,0,bsearch,brand,b_ad_2,desktop,https://www.bsearch.com
222042,"2014-04-01 00:49:48",191538,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222043,"2014-04-01 00:56:12",160207,1,NULL,NULL,NULL,desktop,NULL
222044,"2014-04-01 00:58:11",191539,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222045,"2014-04-01 00:58:58",191540,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
222046,"2014-04-01 01:13:16",191541,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222047,"2014-04-01 01:13:17",191542,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222048,"2014-04-01 01:15:33",191543,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222049,"2014-04-01 01:23:03",191544,0,NULL,NULL,NULL,desktop,https://www.bsearch.com
222050,"2014-04-01 01:32:19",191545,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222051,"2014-04-01 01:35:09",191546,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222052,"2014-04-01 01:42:07",191547,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222053,"2014-04-01 01:44:44",190378,1,NULL,NULL,NULL,desktop,https://www.gsearch.com
222054,"2014-04-01 01:51:42",191548,0,NULL,NULL,NULL,desktop,NULL
222055,"2014-04-01 01:52:09",191549,0,bsearch,nonbrand,b_ad_1,mobile,https://www.bsearch.com
222056,"2014-04-01 02:08:37",191550,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222057,"2014-04-01 02:14:08",167457,1,NULL,NULL,NULL,desktop,https://www.gsearch.com
222058,"2014-04-01 02:16:19",188428,1,NULL,NULL,NULL,desktop,https://www.gsearch.com
222059,"2014-04-01 02:20:44",191551,0,NULL,NULL,NULL,desktop,NULL
222060,"2014-04-01 02:22:37",191552,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222061,"2014-04-01 02:26:27",191553,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222062,"2014-04-01 02:32:36",191554,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222063,"2014-04-01 02:41:58",191555,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222064,"2014-04-01 02:51:14",191556,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
222065,"2014-04-01 03:13:29",191557,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222066,"2014-04-01 03:32:48",191558,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
222067,"2014-04-01 03:33:32",169754,1,NULL,NULL,NULL,desktop,https://www.gsearch.com
222068,"2014-04-01 03:38:31",191559,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222069,"2014-04-01 04:00:55",191560,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222070,"2014-04-01 04:15:56",162089,1,NULL,NULL,NULL,desktop,NULL
222071,"2014-04-01 04:16:27",191561,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222072,"2014-04-01 04:17:13",191562,0,bsearch,nonbrand,b_ad_1,mobile,https://www.bsearch.com
222073,"2014-04-01 04:18:24",191563,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222074,"2014-04-01 04:24:26",184879,1,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
222075,"2014-04-01 04:31:27",166152,1,NULL,NULL,NULL,desktop,NULL
222076,"2014-04-01 04:36:10",191564,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222077,"2014-04-01 04:55:35",191565,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222078,"2014-04-01 05:07:24",191566,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222079,"2014-04-01 05:39:08",191567,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222080,"2014-04-01 05:42:08",191568,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222081,"2014-04-01 05:42:40",191569,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222082,"2014-04-01 05:51:07",191570,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222083,"2014-04-01 05:56:07",191571,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222084,"2014-04-01 05:56:30",191572,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222085,"2014-04-01 05:56:33",178991,1,NULL,NULL,NULL,desktop,NULL
222086,"2014-04-01 06:00:35",191573,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222087,"2014-04-01 06:04:36",188129,1,NULL,NULL,NULL,desktop,NULL
222088,"2014-04-01 06:06:00",191574,0,NULL,NULL,NULL,mobile,NULL
222089,"2014-04-01 06:18:59",191575,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
222090,"2014-04-01 06:26:10",191576,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
222091,"2014-04-01 06:29:12",191577,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222092,"2014-04-01 06:32:09",191578,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222093,"2014-04-01 06:40:36",191579,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222094,"2014-04-01 06:42:22",191580,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222095,"2014-04-01 06:45:11",191581,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
222096,"2014-04-01 06:48:07",191582,0,NULL,NULL,NULL,mobile,https://www.gsearch.com
222097,"2014-04-01 07:06:24",172712,1,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
222098,"2014-04-01 07:11:07",191583,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222099,"2014-04-01 07:12:08",191584,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
222100,"2014-04-01 07:21:18",178114,1,NULL,NULL,NULL,desktop,NULL
222101,"2014-04-01 07:27:08",191585,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222102,"2014-04-01 07:27:41",191586,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222103,"2014-04-01 07:30:49",191587,0,NULL,NULL,NULL,desktop,https://www.gsearch.com
222104,"2014-04-01 07:31:09",163770,1,NULL,NULL,NULL,desktop,https://www.gsearch.com
222105,"2014-04-01 07:33:49",191588,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222106,"2014-04-01 07:37:10",191589,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222107,"2014-04-01 07:40:12",191590,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222108,"2014-04-01 07:50:31",191591,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222109,"2014-04-01 07:53:16",172092,1,gsearch,brand,g_ad_2,mobile,https://www.gsearch.com
222110,"2014-04-01 08:00:06",184172,1,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
222111,"2014-04-01 08:03:21",191592,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222112,"2014-04-01 08:03:30",191593,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
222113,"2014-04-01 08:06:25",191594,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222114,"2014-04-01 08:06:40",191595,0,NULL,NULL,NULL,mobile,https://www.gsearch.com
222115,"2014-04-01 08:10:33",191596,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222116,"2014-04-01 08:12:05",165835,1,NULL,NULL,NULL,desktop,https://www.gsearch.com
222117,"2014-04-01 08:14:57",191597,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222118,"2014-04-01 08:20:45",171442,1,NULL,NULL,NULL,mobile,NULL
222119,"2014-04-01 08:21:07",191598,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222120,"2014-04-01 08:25:24",191599,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222121,"2014-04-01 08:28:41",191600,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222122,"2014-04-01 08:40:51",191601,0,bsearch,nonbrand,b_ad_1,mobile,https://www.bsearch.com
222123,"2014-04-01 08:45:11",191602,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
222124,"2014-04-01 08:46:47",191603,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222125,"2014-04-01 08:47:41",191604,0,bsearch,nonbrand,b_ad_1,mobile,https://www.bsearch.com
222126,"2014-04-01 08:48:50",191605,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222127,"2014-04-01 08:52:41",191606,0,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
222128,"2014-04-01 08:52:46",191607,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222129,"2014-04-01 08:52:47",191608,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
222130,"2014-04-01 08:55:19",191609,0,NULL,NULL,NULL,mobile,NULL
222131,"2014-04-01 08:56:49",191610,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222132,"2014-04-01 08:59:23",191611,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222133,"2014-04-01 09:00:20",171966,1,NULL,NULL,NULL,desktop,NULL
222134,"2014-04-01 09:00:46",191612,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222135,"2014-04-01 09:05:18",191613,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222136,"2014-04-01 09:06:35",191614,0,NULL,NULL,NULL,desktop,https://www.gsearch.com
222137,"2014-04-01 09:06:54",191615,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222138,"2014-04-01 09:08:33",191616,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
222139,"2014-04-01 09:10:29",191617,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222140,"2014-04-01 09:11:12",191618,0,NULL,NULL,NULL,mobile,https://www.gsearch.com
222141,"2014-04-01 09:13:49",191619,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222142,"2014-04-01 09:14:41",191620,0,NULL,NULL,NULL,mobile,https://www.gsearch.com
222143,"2014-04-01 09:14:50",174081,1,NULL,NULL,NULL,desktop,NULL
222144,"2014-04-01 09:17:29",191621,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222145,"2014-04-01 09:18:38",191622,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222146,"2014-04-01 09:20:37",191623,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222147,"2014-04-01 09:22:57",191624,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222148,"2014-04-01 09:23:23",191625,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222149,"2014-04-01 09:23:39",191626,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222150,"2014-04-01 09:23:48",191627,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222151,"2014-04-01 09:23:53",191628,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222152,"2014-04-01 09:28:01",169057,1,bsearch,brand,b_ad_2,mobile,https://www.bsearch.com
222153,"2014-04-01 09:28:04",191629,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222154,"2014-04-01 09:29:43",191630,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
222155,"2014-04-01 09:29:48",191631,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
222156,"2014-04-01 09:30:03",191632,0,gsearch,brand,g_ad_2,mobile,https://www.gsearch.com
222157,"2014-04-01 09:40:02",191633,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222158,"2014-04-01 09:42:33",191634,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
222159,"2014-04-01 09:46:10",182930,1,NULL,NULL,NULL,mobile,https://www.gsearch.com
222160,"2014-04-01 09:46:41",191635,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
222161,"2014-04-01 09:48:35",191636,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
222162,"2014-04-01 09:51:15",191637,0,NULL,NULL,NULL,desktop,https://www.gsearch.com
