website_pageview_id,created_at,website_session_id,pageview_url
489912,"2014-03-01 00:00:40",206360,/billing-2
489913,"2014-03-01 00:01:08",206361,/products
489914,"2014-03-01 00:01:17",206360,/thank-you-for-your-order
489915,"2014-03-01 00:18:13",206362,/lander-3
489916,"2014-03-01 00:20:03",206363,/lander-3
489917,"2014-03-01 00:21:59",206364,/lander-3
489918,"2014-03-01 00:25:06",206365,/lander-2
489919,"2014-03-01 00:27:55",206366,/lander-2
489920,"2014-03-01 00:28:29",206367,/lander-4
489921,"2014-03-01 00:28:51",206366,/products
489922,"2014-03-01 00:29:28",206365,/products
489923,"2014-03-01 00:29:50",206368,/lander-2
489924,"2014-03-01 00:30:15",206367,/products
489925,"2014-03-01 00:31:38",206366,/the-original-mr-fuzzy
489926,"2014-03-01 00:31:54",206367,/the-original-mr-fuzzy
489927,"2014-03-01 00:33:09",206368,/products
489928,"2014-03-01 00:34:28",206369,/home
489929,"2014-03-01 00:36:53",206369,/products
489930,"2014-03-01 00:39:56",206370,/lander-3
489931,"2014-03-01 00:40:54",206369,/the-original-mr-fuzzy
489932,"2014-03-01 00:41:48",206371,/lander-2
489933,"2014-03-01 00:43:57",206372,/lander-2
489934,"2014-03-01 00:45:35",206371,/products
489935,"2014-03-01 00:46:06",206372,/products
489936,"2014-03-01 00:46:32",206372,/the-original-mr-fuzzy
489937,"2014-03-01 00:47:15",206371,/the-birthday-sugar-panda
489938,"2014-03-01 00:49:53",206373,/lander-2
489939,"2014-03-01 00:50:26",206371,/cart
489940,"2014-03-01 00:51:44",206373,/products
489941,"2014-03-01 00:51:44",206374,/lander-3
489942,"2014-03-01 00:53:05",206373,/the-original-mr-fuzzy
489943,"2014-03-01 00:53:33",206373,/cart
489944,"2014-03-01 00:53:34",206371,/shipping
489945,"2014-03-01 00:54:46",206375,/home
489946,"2014-03-01 00:55:05",206371,/billing-2
489947,"2014-03-01 00:56:44",206373,/shipping
489948,"2014-03-01 00:57:53",206373,/billing-2
489949,"2014-03-01 00:58:29",206371,/thank-you-for-your-order
489950,"2014-03-01 00:59:02",206376,/lander-2
489951,"2014-03-01 01:00:21",206376,/products
489952,"2014-03-01 01:01:46",206377,/lander-2
489953,"2014-03-01 01:04:49",206378,/lander-3
489954,"2014-03-01 01:07:24",206379,/home
489955,"2014-03-01 01:10:41",206380,/lander-4
489956,"2014-03-01 01:11:49",206381,/lander-2
489957,"2014-03-01 01:12:29",206379,/products
489958,"2014-03-01 01:13:14",206380,/products
489959,"2014-03-01 01:13:16",206379,/the-birthday-sugar-panda
489960,"2014-03-01 01:15:31",206381,/products
489961,"2014-03-01 01:16:36",206379,/cart
489962,"2014-03-01 01:17:14",206380,/the-birthday-sugar-panda
489963,"2014-03-01 01:19:13",206379,/shipping
489964,"2014-03-01 01:20:04",206379,/billing-2
489965,"2014-03-01 01:21:07",206380,/cart
489966,"2014-03-01 01:22:16",206382,/home
489967,"2014-03-01 01:24:13",206379,/thank-you-for-your-order
489968,"2014-03-01 01:24:18",206380,/shipping
489969,"2014-03-01 01:24:44",206380,/billing-2
489970,"2014-03-01 01:33:50",206383,/lander-3
489971,"2014-03-01 01:47:05",206384,/lander-3
489972,"2014-03-01 01:51:07",206384,/products
489973,"2014-03-01 01:55:18",206384,/the-original-mr-fuzzy
489974,"2014-03-01 01:57:00",206384,/cart
489975,"2014-03-01 01:57:34",206384,/shipping
489976,"2014-03-01 01:59:49",206384,/billing-2
489977,"2014-03-01 02:04:37",206384,/thank-you-for-your-order
489978,"2014-03-01 02:05:10",206385,/lander-2
489979,"2014-03-01 02:07:54",206386,/home
489980,"2014-03-01 02:11:54",206387,/lander-4
489981,"2014-03-01 02:14:37",206388,/lander-3
489982,"2014-03-01 02:18:46",206389,/lander-4
489983,"2014-03-01 02:19:52",206390,/lander-3
489984,"2014-03-01 02:20:05",206389,/products
489985,"2014-03-01 02:20:14",206388,/products
489986,"2014-03-01 02:20:17",206390,/products
489987,"2014-03-01 02:24:14",206390,/the-forever-love-bear
489988,"2014-03-01 02:24:19",206389,/the-original-mr-fuzzy
489989,"2014-03-01 02:26:36",206390,/cart
489990,"2014-03-01 02:28:05",206389,/cart
489991,"2014-03-01 02:28:39",206390,/shipping
489992,"2014-03-01 02:31:46",206389,/shipping
489993,"2014-03-01 02:32:25",206391,/lander-4
489994,"2014-03-01 02:32:38",206389,/billing-2
