order_item_refund_id,created_at,order_item_id,order_id,refund_amount_usd
235,"2013-04-02 12:23:05",3713,3713,49.99
236,"2013-04-03 19:46:38",3769,3769,49.99
237,"2013-04-04 08:41:53",3764,3764,49.99
238,"2013-04-05 06:08:15",3807,3807,49.99
239,"2013-04-06 17:10:41",3757,3757,49.99
240,"2013-04-07 08:38:39",3814,3814,49.99
241,"2013-04-08 12:42:14",3798,3798,59.99
242,"2013-04-08 18:35:49",3856,3856,49.99
243,"2013-04-10 04:56:35",3811,3811,49.99
244,"2013-04-10 07:44:15",3953,3953,49.99
245,"2013-04-12 07:36:08",3866,3866,49.99
246,"2013-04-17 05:01:41",4033,4033,49.99
247,"2013-04-17 14:45:43",3933,3933,49.99
248,"2013-04-18 10:28:46",4114,4114,49.99
249,"2013-04-19 02:21:21",4112,4112,49.99
250,"2013-04-19 22:59:51",3989,3989,49.99
251,"2013-04-20 02:52:26",4182,4182,49.99
252,"2013-04-20 06:55:06",4045,4045,49.99
253,"2013-04-20 13:19:04",4005,4005,49.99
254,"2013-04-20 17:04:11",4001,4001,49.99
255,"2013-04-21 09:43:18",4065,4065,49.99
256,"2013-04-22 08:05:09",4037,4037,49.99
257,"2013-04-23 12:58:36",3993,3993,49.99
258,"2013-05-02 04:42:18",4222,4222,49.99
259,"2013-05-03 15:55:59",4304,4304,59.99
260,"2013-05-04 00:28:40",4396,4396,49.99
261,"2013-05-04 18:05:01",4344,4344,49.99
262,"2013-05-05 01:01:17",4257,4257,49.99
263,"2013-05-07 02:38:13",4438,4438,49.99
264,"2013-05-09 17:34:56",4420,4420,49.99
265,"2013-05-10 03:35:19",4444,4444,49.99
266,"2013-05-10 10:03:29",4507,4507,49.99
267,"2013-05-11 00:13:48",4310,4310,49.99
268,"2013-05-14 01:51:41",4494,4494,49.99
269,"2013-05-15 17:04:53",4543,4543,49.99
270,"2013-05-15 18:18:43",4590,4590,49.99
271,"2013-05-16 07:19:17",4423,4423,49.99
272,"2013-05-18 17:57:34",4696,4696,49.99
273,"2013-05-18 20:00:46",4564,4564,49.99
274,"2013-05-19 10:55:47",4610,4610,49.99
275,"2013-05-19 20:13:46",4608,4608,49.99
276,"2013-05-19 20:40:41",4576,4576,49.99
277,"2013-05-20 13:06:03",4710,4710,49.99
278,"2013-05-21 23:59:49",4611,4611,49.99
279,"2013-05-23 14:00:59",4654,4654,49.99
280,"2013-05-23 17:27:33",4620,4620,49.99
281,"2013-05-26 23:35:50",4679,4679,59.99
282,"2013-05-27 09:45:33",4793,4793,49.99
283,"2013-05-27 21:46:08",4706,4706,49.99
284,"2013-05-28 05:44:41",4726,4726,49.99
285,"2013-05-28 10:43:47",4825,4825,49.99
286,"2013-05-28 22:10:51",4680,4680,49.99
287,"2013-05-29 00:40:58",4760,4760,59.99
288,"2013-05-31 18:17:58",4758,4758,49.99
289,"2013-06-03 23:06:28",4989,4989,49.99
290,"2013-06-04 06:54:42",4915,4915,49.99
291,"2013-06-04 14:12:08",4900,4900,49.99
292,"2013-06-04 20:48:52",4807,4807,49.99
293,"2013-06-07 10:18:55",4874,4874,49.99
294,"2013-06-07 19:37:29",4879,4879,49.99
295,"2013-06-08 21:55:16",5100,5100,49.99
296,"2013-06-08 23:33:50",5095,5095,49.99
297,"2013-06-09 03:43:51",5051,5051,49.99
298,"2013-06-09 13:24:38",4993,4993,49.99
299,"2013-06-09 17:42:50",4953,4953,49.99
300,"2013-06-11 01:06:52",4907,4907,49.99
301,"2013-06-11 03:12:17",5023,5023,49.99
302,"2013-06-11 21:45:48",5134,5134,49.99
303,"2013-06-13 12:18:21",4912,4912,49.99
304,"2013-06-17 23:10:51",5007,5007,59.99
305,"2013-06-18 06:57:22",5082,5082,49.99
306,"2013-06-18 12:08:14",5257,5257,59.99
307,"2013-06-18 21:43:45",5145,5145,49.99
308,"2013-06-19 11:47:44",5128,5128,49.99
309,"2013-06-19 14:16:20",5113,5113,49.99
310,"2013-06-20 01:37:09",5168,5168,49.99
311,"2013-06-20 03:04:51",5263,5263,59.99
312,"2013-06-20 11:43:36",5124,5124,49.99
313,"2013-06-21 03:48:07",5289,5289,59.99
314,"2013-06-22 15:45:53",5108,5108,49.99
315,"2013-06-24 02:44:05",5262,5262,49.99
316,"2013-06-24 15:52:48",5333,5333,49.99
317,"2013-06-27 04:27:32",5422,5422,49.99
318,"2013-06-27 04:52:26",5284,5284,49.99
319,"2013-06-27 14:13:03",5346,5346,49.99
320,"2013-06-27 17:50:46",5261,5261,49.99
321,"2013-06-28 06:53:36",5386,5386,49.99
322,"2013-06-28 23:54:35",5239,5239,59.99
