order_item_refund_id,created_at,order_item_id,order_id,refund_amount_usd
509,"2014-01-03 00:42:51",9971,9838,59.99
510,"2014-01-03 22:46:25",10104,9949,45.99
511,"2014-01-05 00:43:13",10075,9925,45.99
512,"2014-01-06 07:13:14",10047,9903,45.99
513,"2014-01-06 10:30:53",10274,10098,49.99
514,"2014-01-07 05:19:10",9891,9763,45.99
515,"2014-01-07 12:18:01",10068,9919,49.99
516,"2014-01-08 17:28:31",10285,10109,49.99
517,"2014-01-09 14:13:21",10207,10041,45.99
518,"2014-01-12 19:15:45",10321,10143,59.99
519,"2014-01-14 18:19:27",10509,10309,45.99
520,"2014-01-14 19:40:53",10430,10241,59.99
521,"2014-01-15 20:06:48",10330,10151,45.99
522,"2014-01-16 01:14:22",10604,10395,45.99
523,"2014-01-17 01:59:14",10540,10335,45.99
524,"2014-01-17 06:59:35",10301,10124,49.99
525,"2014-01-17 17:53:48",10334,10155,49.99
526,"2014-01-19 08:22:15",10699,10478,45.99
527,"2014-01-20 06:39:07",10577,10371,49.99
528,"2014-01-20 18:13:53",10373,10191,49.99
529,"2014-01-21 02:43:13",10503,10304,49.99
530,"2014-01-21 17:37:42",10707,10486,49.99
531,"2014-01-22 20:04:47",10771,10540,49.99
532,"2014-01-22 20:47:11",10385,10202,45.99
533,"2014-01-23 06:10:13",10671,10454,49.99
534,"2014-01-23 06:59:12",10669,10453,49.99
535,"2014-01-25 12:11:43",10820,10582,45.99
536,"2014-01-25 19:50:22",10513,10312,49.99
537,"2014-01-27 21:08:12",10690,10470,59.99
538,"2014-01-28 09:57:24",10977,10719,49.99
539,"2014-01-28 13:22:23",10673,10456,49.99
540,"2014-01-28 22:50:24",10854,10610,45.99
541,"2014-01-29 13:24:39",10653,10439,49.99
542,"2014-01-30 04:06:18",10624,10413,49.99
543,"2014-01-30 10:46:03",10618,10408,59.99
544,"2014-01-31 10:37:12",10859,10615,49.99
545,"2014-02-01 03:08:27",10792,10558,49.99
546,"2014-02-01 03:22:00",10721,10497,49.99
547,"2014-02-02 00:25:06",10949,10693,49.99
548,"2014-02-02 05:38:23",10786,10553,49.99
549,"2014-02-02 12:30:50",10746,10519,49.99
550,"2014-02-02 21:05:09",10934,10678,45.99
551,"2014-02-03 12:01:59",10851,10607,49.99
552,"2014-02-04 13:36:33",10994,10736,49.99
553,"2014-02-05 06:19:05",10965,10707,49.99
554,"2014-02-05 10:56:12",11162,10885,49.99
555,"2014-02-05 16:23:28",11368,11062,49.99
556,"2014-02-06 04:08:28",11313,11018,49.99
557,"2014-02-06 12:15:01",11030,10769,49.99
558,"2014-02-07 02:50:09",11110,10839,45.99
559,"2014-02-08 22:50:49",11418,11106,49.99
560,"2014-02-09 01:42:05",11153,10877,49.99
561,"2014-02-09 06:23:27",11155,10878,49.99
562,"2014-02-09 08:01:23",11554,11208,45.99
563,"2014-02-10 05:50:25",11525,11188,49.99
564,"2014-02-10 07:35:46",11455,11139,49.99
565,"2014-02-10 20:08:43",11199,10917,45.99
566,"2014-02-11 17:13:35",11272,10983,49.99
567,"2014-02-12 01:32:14",11144,10869,45.99
568,"2014-02-12 03:28:45",11393,11084,45.99
569,"2014-02-14 08:29:42",11184,10904,49.99
570,"2014-02-14 09:10:25",11482,11157,45.99
571,"2014-02-14 09:38:13",11439,11124,49.99
572,"2014-02-14 17:13:20",11758,11367,59.99
573,"2014-02-14 17:59:23",11788,11390,45.99
574,"2014-02-15 14:12:54",11550,11206,45.99
575,"2014-02-15 21:54:10",11600,11244,49.99
576,"2014-02-17 22:42:45",11493,11165,29.99
577,"2014-02-18 20:53:19",11557,11211,49.99
578,"2014-02-20 14:42:45",11944,11511,45.99
579,"2014-02-22 09:50:13",12144,11658,49.99
580,"2014-02-22 18:45:29",12068,11603,49.99
581,"2014-02-23 12:02:12",11629,11265,59.99
582,"2014-02-23 16:11:02",12174,11680,49.99
583,"2014-02-24 00:08:03",12330,11787,45.99
584,"2014-02-24 08:18:13",11825,11419,59.99
585,"2014-02-24 13:55:31",11955,11522,59.99
586,"2014-02-25 19:36:40",11778,11382,59.99
587,"2014-02-26 13:26:09",12044,11588,49.99
588,"2014-02-26 15:13:39",12097,11626,49.99
589,"2014-02-26 17:19:09",12320,11780,45.99
590,"2014-02-27 09:25:50",12444,11877,49.99
591,"2014-02-27 14:34:45",12175,11681,45.99
592,"2014-02-28 02:31:09",12373,11822,49.99
593,"2014-02-28 21:22:50",12438,11873,45.99
