website_session_id,created_at,user_id,is_repeat_session,utm_source,utm_campaign,utm_content,device_type,http_referer
190077,"2014-02-01 00:07:16",164950,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
190078,"2014-02-01 00:11:11",164951,0,NULL,NULL,NULL,desktop,https://www.bsearch.com
190079,"2014-02-01 00:11:32",164952,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
190080,"2014-02-01 00:16:18",164953,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190081,"2014-02-01 00:20:47",164954,0,NULL,NULL,NULL,desktop,NULL
190082,"2014-02-01 00:22:02",164955,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
190083,"2014-02-01 00:25:11",143251,1,NULL,NULL,NULL,desktop,https://www.gsearch.com
190084,"2014-02-01 00:30:24",132734,1,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
190085,"2014-02-01 00:36:17",164956,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190086,"2014-02-01 00:39:19",164957,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
190087,"2014-02-01 00:39:44",164958,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190088,"2014-02-01 00:56:04",164959,0,gsearch,brand,g_ad_2,mobile,https://www.gsearch.com
190089,"2014-02-01 01:09:44",164960,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
190090,"2014-02-01 01:14:49",164961,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
190091,"2014-02-01 01:19:02",164962,0,NULL,NULL,NULL,desktop,https://www.gsearch.com
190092,"2014-02-01 01:23:40",164963,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190093,"2014-02-01 01:25:08",151609,1,NULL,NULL,NULL,mobile,https://www.gsearch.com
190094,"2014-02-01 01:43:03",161385,1,NULL,NULL,NULL,desktop,https://www.bsearch.com
190095,"2014-02-01 01:49:12",164964,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190096,"2014-02-01 01:52:06",164965,0,NULL,NULL,NULL,desktop,NULL
190097,"2014-02-01 01:53:13",158602,1,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
190098,"2014-02-01 01:56:39",164966,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
190099,"2014-02-01 02:10:45",164967,0,NULL,NULL,NULL,desktop,https://www.bsearch.com
190100,"2014-02-01 02:10:56",164968,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190101,"2014-02-01 02:18:25",164969,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190102,"2014-02-01 02:23:04",149138,1,NULL,NULL,NULL,desktop,NULL
190103,"2014-02-01 02:25:40",164970,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
190104,"2014-02-01 02:27:20",164971,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
190105,"2014-02-01 02:34:11",164972,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190106,"2014-02-01 02:43:49",164973,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190107,"2014-02-01 03:04:59",164974,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
190108,"2014-02-01 03:05:07",164975,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
190109,"2014-02-01 03:08:03",139119,1,NULL,NULL,NULL,desktop,NULL
190110,"2014-02-01 03:11:25",143686,1,NULL,NULL,NULL,desktop,https://www.gsearch.com
190111,"2014-02-01 03:27:32",164976,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
190112,"2014-02-01 03:47:42",164977,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190113,"2014-02-01 03:48:47",164978,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
190114,"2014-02-01 03:50:41",164979,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
190115,"2014-02-01 03:55:14",164980,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
190116,"2014-02-01 04:01:59",158829,1,NULL,NULL,NULL,desktop,https://www.bsearch.com
190117,"2014-02-01 04:02:38",164981,0,NULL,NULL,NULL,desktop,NULL
190118,"2014-02-01 04:04:23",164982,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190119,"2014-02-01 04:08:36",164983,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
190120,"2014-02-01 04:14:07",164984,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190121,"2014-02-01 04:22:07",164985,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
190122,"2014-02-01 04:31:00",164986,0,bsearch,nonbrand,b_ad_1,mobile,https://www.bsearch.com
190123,"2014-02-01 04:43:14",164987,0,NULL,NULL,NULL,mobile,NULL
190124,"2014-02-01 04:55:19",164988,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190125,"2014-02-01 05:03:27",144232,1,NULL,NULL,NULL,desktop,NULL
190126,"2014-02-01 05:07:27",164989,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190127,"2014-02-01 05:28:33",144327,1,NULL,NULL,NULL,desktop,https://www.bsearch.com
190128,"2014-02-01 05:32:59",164990,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
190129,"2014-02-01 05:44:38",164991,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190130,"2014-02-01 06:23:12",135771,1,gsearch,brand,g_ad_2,mobile,https://www.gsearch.com
190131,"2014-02-01 06:29:13",164992,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190132,"2014-02-01 06:38:13",164993,0,NULL,NULL,NULL,mobile,NULL
190133,"2014-02-01 06:38:44",148462,1,bsearch,brand,b_ad_2,desktop,https://www.bsearch.com
190134,"2014-02-01 06:55:05",164994,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
190135,"2014-02-01 07:00:33",164995,0,NULL,NULL,NULL,desktop,https://www.gsearch.com
190136,"2014-02-01 07:10:59",164996,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190137,"2014-02-01 07:19:50",164997,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190138,"2014-02-01 07:29:39",164998,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190139,"2014-02-01 07:30:23",164999,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190140,"2014-02-01 07:33:48",165000,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190141,"2014-02-01 07:35:36",165001,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190142,"2014-02-01 07:40:29",165002,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
190143,"2014-02-01 07:43:51",165003,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
190144,"2014-02-01 07:47:51",165004,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190145,"2014-02-01 07:53:39",165005,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190146,"2014-02-01 07:56:49",146735,1,NULL,NULL,NULL,desktop,NULL
190147,"2014-02-01 08:01:05",165006,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190148,"2014-02-01 08:07:27",165007,0,socialbook,pilot,social_ad_1,desktop,https://www.socialbook.com
190149,"2014-02-01 08:20:04",165008,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
190150,"2014-02-01 08:22:02",165009,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
190151,"2014-02-01 08:24:27",165010,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
190152,"2014-02-01 08:25:10",158530,1,NULL,NULL,NULL,mobile,https://www.gsearch.com
190153,"2014-02-01 08:45:57",165011,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
190154,"2014-02-01 08:46:19",165012,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190155,"2014-02-01 08:52:50",165013,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
190156,"2014-02-01 08:57:27",165014,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
190157,"2014-02-01 09:03:49",165015,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
190158,"2014-02-01 09:04:02",165016,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190159,"2014-02-01 09:14:49",165017,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190160,"2014-02-01 09:18:10",165018,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190161,"2014-02-01 09:18:16",165019,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
190162,"2014-02-01 09:19:12",165020,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
190163,"2014-02-01 09:20:10",165021,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
190164,"2014-02-01 09:20:46",165022,0,gsearch,brand,g_ad_2,mobile,https://www.gsearch.com
190165,"2014-02-01 09:21:57",165023,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
190166,"2014-02-01 09:27:32",165024,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
190167,"2014-02-01 09:36:53",137324,1,NULL,NULL,NULL,desktop,https://www.gsearch.com
190168,"2014-02-01 09:47:26",140000,1,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
190169,"2014-02-01 09:48:28",155998,1,NULL,NULL,NULL,desktop,https://www.gsearch.com
190170,"2014-02-01 09:53:18",165025,0,bsearch,nonbrand,b_ad_1,mobile,https://www.bsearch.com
190171,"2014-02-01 09:53:23",165026,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
190172,"2014-02-01 10:08:48",133967,1,NULL,NULL,NULL,desktop,https://www.gsearch.com
190173,"2014-02-01 10:09:09",165027,0,bsearch,nonbrand,b_ad_1,mobile,https://www.bsearch.com
190174,"2014-02-01 10:09:36",165028,0,bsearch,nonbrand,b_ad_1,mobile,https://www.bsearch.com
190175,"2014-02-01 10:10:17",165029,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190176,"2014-02-01 10:11:43",165030,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
190177,"2014-02-01 10:21:48",165031,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
190178,"2014-02-01 10:40:21",165032,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
190179,"2014-02-01 10:43:09",165033,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
190180,"2014-02-01 10:43:37",149766,1,NULL,NULL,NULL,desktop,https://www.gsearch.com
190181,"2014-02-01 10:44:32",165034,0,NULL,NULL,NULL,desktop,https://www.gsearch.com
190182,"2014-02-01 10:45:12",165035,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190183,"2014-02-01 10:45:29",165036,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
190184,"2014-02-01 10:53:30",165037,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
190185,"2014-02-01 10:55:14",165038,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190186,"2014-02-01 11:09:24",165039,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190187,"2014-02-01 11:11:01",165040,0,bsearch,nonbrand,b_ad_1,mobile,https://www.bsearch.com
190188,"2014-02-01 11:13:03",165041,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190189,"2014-02-01 11:13:10",165042,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190190,"2014-02-01 11:15:58",165043,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
190191,"2014-02-01 11:18:45",139501,1,gsearch,brand,g_ad_2,mobile,https://www.gsearch.com
190192,"2014-02-01 11:23:17",151977,1,NULL,NULL,NULL,desktop,https://www.bsearch.com
190193,"2014-02-01 11:25:35",147671,1,NULL,NULL,NULL,desktop,NULL
190194,"2014-02-01 11:27:08",158750,1,NULL,NULL,NULL,mobile,NULL
190195,"2014-02-01 11:33:20",165044,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
190196,"2014-02-01 11:47:37",165045,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190197,"2014-02-01 11:57:49",165046,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
190198,"2014-02-01 12:01:41",165047,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
190199,"2014-02-01 12:03:01",165048,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190200,"2014-02-01 12:06:08",146865,1,NULL,NULL,NULL,desktop,NULL
190201,"2014-02-01 12:07:29",165049,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190202,"2014-02-01 12:09:24",165050,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190203,"2014-02-01 12:14:30",165051,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190204,"2014-02-01 12:18:15",165052,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
190205,"2014-02-01 12:31:31",165053,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
190206,"2014-02-01 12:33:47",165054,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
190207,"2014-02-01 12:34:22",165055,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
190208,"2014-02-01 12:37:07",165056,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
190209,"2014-02-01 12:38:11",134688,1,NULL,NULL,NULL,mobile,NULL
190210,"2014-02-01 12:41:19",165057,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
190211,"2014-02-01 12:41:23",165058,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
190212,"2014-02-01 12:53:16",165059,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
190213,"2014-02-01 12:56:31",165060,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
190214,"2014-02-01 13:02:42",165061,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
