order_item_id,created_at,order_id,price_usd,cogs_usd,website_session_id,product_id,is_primary_item
14086,"2014-04-01 00:33:03",13103,49.99,19.49,222035,1,1
14087,"2014-04-01 00:33:03",13103,45.99,14.49,222035,3,0
14088,"2014-04-01 01:51:45",13104,49.99,19.49,222051,1,1
14089,"2014-04-01 02:41:03",13105,45.99,14.49,222061,3,1
14090,"2014-04-01 05:55:04",13106,45.99,14.49,222081,3,1
14091,"2014-04-01 05:55:04",13106,59.99,22.49,222081,2,0
14092,"2014-04-01 06:49:17",13107,59.99,22.49,222092,2,1
14093,"2014-04-01 06:57:45",13108,45.99,14.49,222093,3,1
14094,"2014-04-01 06:57:45",13108,49.99,19.49,222093,1,0
14095,"2014-04-01 10:37:33",13109,49.99,19.49,222176,1,1
14096,"2014-04-01 11:32:51",13110,49.99,19.49,222219,1,1
14097,"2014-04-01 12:07:02",13111,59.99,22.49,222237,2,1
14098,"2014-04-01 12:15:44",13112,49.99,19.49,222252,1,1
14099,"2014-04-01 12:19:19",13113,49.99,19.49,222258,1,1
14100,"2014-04-01 12:20:58",13114,49.99,19.49,222260,1,1
14101,"2014-04-01 12:20:58",13114,29.99,9.49,222260,4,0
14102,"2014-04-01 12:22:24",13115,49.99,19.49,222259,1,1
14103,"2014-04-01 12:22:24",13115,29.99,9.49,222259,4,0
14104,"2014-04-01 12:24:23",13116,49.99,19.49,222250,1,1
14105,"2014-04-01 12:41:30",13117,49.99,19.49,222277,1,1
14106,"2014-04-01 12:41:30",13117,45.99,14.49,222277,3,0
14107,"2014-04-01 12:52:28",13118,49.99,19.49,222290,1,1
14108,"2014-04-01 13:07:53",13119,49.99,19.49,222298,1,1
14109,"2014-04-01 14:38:06",13120,49.99,19.49,222362,1,1
14110,"2014-04-01 14:38:06",13120,29.99,9.49,222362,4,0
14111,"2014-04-01 14:45:55",13121,49.99,19.49,222366,1,1
14112,"2014-04-01 14:48:57",13122,49.99,19.49,222370,1,1
14113,"2014-04-01 14:53:59",13123,49.99,19.49,222373,1,1
14114,"2014-04-01 15:10:07",13124,49.99,19.49,222383,1,1
14115,"2014-04-01 16:20:29",13125,49.99,19.49,222430,1,1
14116,"2014-04-01 16:21:28",13126,49.99,19.49,222434,1,1
14117,"2014-04-01 16:21:28",13126,45.99,14.49,222434,3,0
14118,"2014-04-01 16:28:00",13127,49.99,19.49,222440,1,1
14119,"2014-04-01 16:28:00",13127,45.99,14.49,222440,3,0
