order_item_refund_id,created_at,order_item_id,order_id,refund_amount_usd
639,"2014-04-01 11:14:44",13903,12967,45.99
640,"2014-04-02 03:44:28",13904,12968,45.99
641,"2014-04-02 10:48:52",13458,12640,49.99
642,"2014-04-02 21:25:42",13769,12868,45.99
643,"2014-04-04 04:14:15",13855,12932,45.99
644,"2014-04-04 04:48:41",13766,12866,49.99
645,"2014-04-04 13:08:31",13956,13006,45.99
646,"2014-04-04 18:11:16",13983,13028,45.99
647,"2014-04-05 04:16:24",13962,13011,49.99
648,"2014-04-05 18:00:31",13939,12994,49.99
649,"2014-04-06 17:59:51",13798,12891,45.99
650,"2014-04-07 13:50:43",14161,13162,49.99
651,"2014-04-08 05:13:40",13934,12989,49.99
652,"2014-04-09 21:50:41",14244,13227,49.99
653,"2014-04-10 04:04:55",14320,13285,49.99
654,"2014-04-10 07:27:22",14331,13293,49.99
655,"2014-04-11 07:40:00",13883,12951,59.99
656,"2014-04-11 08:27:56",14397,13339,45.99
657,"2014-04-11 10:24:05",14216,13206,49.99
658,"2014-04-12 05:30:50",13964,13012,49.99
659,"2014-04-13 04:59:13",14429,13361,49.99
660,"2014-04-13 06:48:15",14175,13172,49.99
661,"2014-04-13 19:40:02",14377,13324,49.99
662,"2014-04-16 00:44:01",14160,13161,49.99
663,"2014-04-17 15:06:51",14610,13503,49.99
664,"2014-04-18 04:58:58",14798,13640,49.99
665,"2014-04-18 14:31:52",14407,13345,49.99
666,"2014-04-19 02:35:27",14803,13644,49.99
667,"2014-04-19 08:20:46",14466,13389,49.99
668,"2014-04-19 12:23:39",14432,13363,49.99
669,"2014-04-20 12:19:32",14721,13586,45.99
670,"2014-04-20 13:12:34",14444,13372,49.99
671,"2014-04-20 15:16:26",14985,13785,49.99
672,"2014-04-21 02:44:39",14591,13489,45.99
673,"2014-04-21 12:36:33",14427,13360,49.99
674,"2014-04-21 19:09:14",14920,13737,45.99
675,"2014-04-22 07:02:24",14975,13778,49.99
676,"2014-04-22 07:08:08",15005,13798,49.99
677,"2014-04-22 15:39:29",14785,13630,45.99
678,"2014-04-23 03:12:27",14832,13667,45.99
679,"2014-04-24 02:49:46",14766,13618,45.99
680,"2014-04-24 04:28:50",15133,13889,59.99
681,"2014-04-24 20:20:45",14554,13458,49.99
682,"2014-04-25 07:19:08",15207,13946,45.99
683,"2014-04-25 13:14:11",14628,13516,45.99
684,"2014-04-25 18:29:30",14838,13672,49.99
685,"2014-04-26 12:10:39",15115,13875,49.99
686,"2014-04-27 05:43:00",14855,13687,49.99
687,"2014-04-27 09:17:42",15256,13986,45.99
688,"2014-04-27 14:23:27",14851,13683,49.99
689,"2014-04-28 22:56:09",14742,13602,49.99
690,"2014-04-29 00:42:44",15353,14054,49.99
691,"2014-04-29 09:55:36",14996,13792,59.99
692,"2014-04-29 10:32:30",15391,14081,45.99
693,"2014-04-30 19:04:35",14771,13622,49.99
