order_item_id,created_at,order_id,price_usd,cogs_usd,website_session_id,product_id,is_primary_item
5577,"2013-07-01 00:03:53",5577,49.99,19.49,107047,1,1
5578,"2013-07-01 01:11:22",5578,49.99,19.49,107058,1,1
5579,"2013-07-01 04:56:24",5579,59.99,22.49,107085,2,1
5580,"2013-07-01 07:57:34",5580,49.99,19.49,107105,1,1
5581,"2013-07-01 08:32:48",5581,49.99,19.49,107113,1,1
5582,"2013-07-01 09:43:51",5582,49.99,19.49,107120,1,1
5583,"2013-07-01 10:13:10",5583,49.99,19.49,107127,1,1
5584,"2013-07-01 10:40:21",5584,59.99,22.49,107141,2,1
5585,"2013-07-01 11:08:08",5585,49.99,19.49,107155,1,1
5586,"2013-07-01 11:20:14",5586,49.99,19.49,107158,1,1
5587,"2013-07-01 12:40:19",5587,49.99,19.49,107196,1,1
5588,"2013-07-01 13:09:56",5588,49.99,19.49,107204,1,1
5589,"2013-07-01 13:47:16",5589,49.99,19.49,107217,1,1
5590,"2013-07-01 14:26:51",5590,49.99,19.49,107237,1,1
5591,"2013-07-01 14:41:16",5591,49.99,19.49,107241,1,1
5592,"2013-07-01 15:02:24",5592,59.99,22.49,107251,2,1
5593,"2013-07-01 15:05:00",5593,49.99,19.49,107247,1,1
5594,"2013-07-01 17:24:31",5594,49.99,19.49,107294,1,1
5595,"2013-07-01 19:03:55",5595,49.99,19.49,107323,1,1
5596,"2013-07-01 21:02:11",5596,49.99,19.49,107354,1,1
5597,"2013-07-02 01:16:48",5597,59.99,22.49,107392,2,1
5598,"2013-07-02 04:29:16",5598,49.99,19.49,107408,1,1
5599,"2013-07-02 09:30:06",5599,49.99,19.49,107438,1,1
5600,"2013-07-02 09:36:23",5600,59.99,22.49,107440,2,1
5601,"2013-07-02 10:34:22",5601,49.99,19.49,107458,1,1
5602,"2013-07-02 11:05:49",5602,49.99,19.49,107468,1,1
5603,"2013-07-02 11:22:23",5603,49.99,19.49,107474,1,1
5604,"2013-07-02 12:05:18",5604,49.99,19.49,107494,1,1
5605,"2013-07-02 13:46:06",5605,49.99,19.49,107523,1,1
5606,"2013-07-02 13:57:20",5606,49.99,19.49,107527,1,1
5607,"2013-07-02 14:03:42",5607,49.99,19.49,107534,1,1
5608,"2013-07-02 14:34:28",5608,49.99,19.49,107544,1,1
5609,"2013-07-02 15:13:55",5609,59.99,22.49,107561,2,1
5610,"2013-07-02 16:17:26",5610,49.99,19.49,107584,1,1
5611,"2013-07-02 17:52:45",5611,49.99,19.49,107614,1,1
5612,"2013-07-02 18:35:05",5612,49.99,19.49,107635,1,1
5613,"2013-07-02 20:34:48",5613,49.99,19.49,107655,1,1
5614,"2013-07-02 22:24:01",5614,59.99,22.49,107679,2,1
5615,"2013-07-02 23:29:27",5615,49.99,19.49,107692,1,1
5616,"2013-07-02 23:37:13",5616,49.99,19.49,107695,1,1
5617,"2013-07-03 01:03:34",5617,49.99,19.49,107715,1,1
5618,"2013-07-03 04:12:48",5618,49.99,19.49,107736,1,1
5619,"2013-07-03 06:40:04",5619,49.99,19.49,107749,1,1
5620,"2013-07-03 07:22:39",5620,49.99,19.49,107752,1,1
5621,"2013-07-03 08:01:13",5621,59.99,22.49,107759,2,1
5622,"2013-07-03 08:48:35",5622,49.99,19.49,107770,1,1
5623,"2013-07-03 10:58:38",5623,59.99,22.49,107806,2,1
5624,"2013-07-03 12:03:18",5624,49.99,19.49,107835,1,1
5625,"2013-07-03 12:16:31",5625,59.99,22.49,107842,2,1
5626,"2013-07-03 13:11:01",5626,59.99,22.49,107869,2,1
5627,"2013-07-03 13:31:48",5627,49.99,19.49,107878,1,1
5628,"2013-07-03 15:29:40",5628,49.99,19.49,107926,1,1
5629,"2013-07-03 16:35:15",5629,49.99,19.49,107950,1,1
5630,"2013-07-03 16:57:50",5630,49.99,19.49,107962,1,1
5631,"2013-07-03 17:00:23",5631,49.99,19.49,107963,1,1
5632,"2013-07-03 17:20:39",5632,49.99,19.49,107972,1,1
5633,"2013-07-03 19:19:06",5633,49.99,19.49,108014,1,1
5634,"2013-07-03 19:40:04",5634,49.99,19.49,108018,1,1
5635,"2013-07-03 21:03:54",5635,49.99,19.49,108035,1,1
5636,"2013-07-03 22:17:19",5636,49.99,19.49,108056,1,1
5637,"2013-07-03 23:00:04",5637,49.99,19.49,108065,1,1
5638,"2013-07-04 08:20:06",5638,49.99,19.49,108118,1,1
5639,"2013-07-04 09:26:21",5639,49.99,19.49,108131,1,1
5640,"2013-07-04 11:12:53",5640,49.99,19.49,108155,1,1
5641,"2013-07-04 11:17:32",5641,59.99,22.49,108160,2,1
5642,"2013-07-04 11:24:58",5642,49.99,19.49,108159,1,1
5643,"2013-07-04 11:46:19",5643,59.99,22.49,108168,2,1
5644,"2013-07-04 13:11:40",5644,49.99,19.49,108191,1,1
5645,"2013-07-04 15:22:09",5645,59.99,22.49,108223,2,1
5646,"2013-07-04 16:25:03",5646,49.99,19.49,108240,1,1
5647,"2013-07-04 17:20:28",5647,49.99,19.49,108254,1,1
5648,"2013-07-04 18:00:49",5648,49.99,19.49,108266,1,1
5649,"2013-07-04 21:58:36",5649,49.99,19.49,108309,1,1
5650,"2013-07-05 02:03:30",5650,49.99,19.49,108339,1,1
5651,"2013-07-05 02:11:54",5651,49.99,19.49,108340,1,1
5652,"2013-07-05 02:24:47",5652,49.99,19.49,108341,1,1
5653,"2013-07-05 04:53:58",5653,49.99,19.49,108352,1,1
5654,"2013-07-05 07:55:47",5654,59.99,22.49,108378,2,1
5655,"2013-07-05 09:21:51",5655,49.99,19.49,108394,1,1
5656,"2013-07-05 11:46:32",5656,49.99,19.49,108447,1,1
5657,"2013-07-05 13:08:11",5657,49.99,19.49,108485,1,1
5658,"2013-07-05 15:17:26",5658,49.99,19.49,108528,1,1
5659,"2013-07-05 15:44:34",5659,49.99,19.49,108538,1,1
5660,"2013-07-05 19:39:17",5660,49.99,19.49,108614,1,1
5661,"2013-07-05 21:37:49",5661,49.99,19.49,108640,1,1
5662,"2013-07-05 23:25:35",5662,49.99,19.49,108658,1,1
5663,"2013-07-05 23:40:05",5663,49.99,19.49,108659,1,1
5664,"2013-07-06 06:47:36",5664,49.99,19.49,108691,1,1
5665,"2013-07-06 08:05:43",5665,49.99,19.49,108700,1,1
5666,"2013-07-06 10:27:02",5666,49.99,19.49,108716,1,1
5667,"2013-07-06 13:04:35",5667,49.99,19.49,108739,1,1
5668,"2013-07-06 15:13:56",5668,59.99,22.49,108755,2,1
5669,"2013-07-06 22:04:56",5669,49.99,19.49,108801,1,1
5670,"2013-07-06 22:22:28",5670,49.99,19.49,108804,1,1
5671,"2013-07-07 01:32:51",5671,49.99,19.49,108821,1,1
5672,"2013-07-07 02:34:17",5672,49.99,19.49,108822,1,1
5673,"2013-07-07 06:58:53",5673,49.99,19.49,108847,1,1
5674,"2013-07-07 12:12:31",5674,59.99,22.49,108868,2,1
5675,"2013-07-07 13:40:35",5675,49.99,19.49,108880,1,1
5676,"2013-07-07 20:04:19",5676,49.99,19.49,108924,1,1
5677,"2013-07-07 22:05:36",5677,49.99,19.49,108946,1,1
5678,"2013-07-07 22:05:37",5678,49.99,19.49,108945,1,1
5679,"2013-07-07 23:26:26",5679,49.99,19.49,108955,1,1
5680,"2013-07-07 23:46:17",5680,49.99,19.49,108959,1,1
5681,"2013-07-07 23:51:12",5681,49.99,19.49,108961,1,1
5682,"2013-07-08 00:55:44",5682,49.99,19.49,108971,1,1
5683,"2013-07-08 01:17:21",5683,49.99,19.49,108973,1,1
5684,"2013-07-08 05:44:44",5684,49.99,19.49,109006,1,1
5685,"2013-07-08 06:33:54",5685,49.99,19.49,109012,1,1
5686,"2013-07-08 10:01:04",5686,49.99,19.49,109047,1,1
5687,"2013-07-08 11:35:51",5687,49.99,19.49,109082,1,1
5688,"2013-07-08 11:36:09",5688,49.99,19.49,109085,1,1
5689,"2013-07-08 12:09:51",5689,49.99,19.49,109098,1,1
5690,"2013-07-08 14:04:36",5690,59.99,22.49,109137,2,1
5691,"2013-07-08 14:31:12",5691,49.99,19.49,109152,1,1
5692,"2013-07-08 14:32:35",5692,49.99,19.49,109147,1,1
5693,"2013-07-08 14:33:45",5693,49.99,19.49,109150,1,1
5694,"2013-07-08 15:16:29",5694,49.99,19.49,109162,1,1
5695,"2013-07-08 15:18:57",5695,49.99,19.49,109164,1,1
5696,"2013-07-08 15:53:45",5696,49.99,19.49,109175,1,1
5697,"2013-07-08 15:54:02",5697,49.99,19.49,109177,1,1
5698,"2013-07-08 16:41:36",5698,59.99,22.49,109189,2,1
5699,"2013-07-08 17:31:44",5699,49.99,19.49,109207,1,1
5700,"2013-07-08 18:03:01",5700,49.99,19.49,109218,1,1
5701,"2013-07-08 18:35:26",5701,49.99,19.49,109228,1,1
5702,"2013-07-08 18:49:18",5702,59.99,22.49,109230,2,1
5703,"2013-07-08 19:01:48",5703,49.99,19.49,109238,1,1
5704,"2013-07-08 20:19:06",5704,49.99,19.49,109259,1,1
5705,"2013-07-08 21:38:43",5705,49.99,19.49,109274,1,1
5706,"2013-07-08 23:26:19",5706,49.99,19.49,109294,1,1
5707,"2013-07-09 00:54:11",5707,49.99,19.49,109303,1,1
5708,"2013-07-09 04:38:08",5708,49.99,19.49,109319,1,1
5709,"2013-07-09 05:56:50",5709,49.99,19.49,109328,1,1
5710,"2013-07-09 08:41:06",5710,49.99,19.49,109348,1,1
5711,"2013-07-09 08:54:19",5711,49.99,19.49,109351,1,1
5712,"2013-07-09 10:00:18",5712,49.99,19.49,109360,1,1
5713,"2013-07-09 11:27:18",5713,59.99,22.49,109395,2,1
5714,"2013-07-09 12:25:11",5714,49.99,19.49,109418,1,1
5715,"2013-07-09 12:25:41",5715,49.99,19.49,109419,1,1
5716,"2013-07-09 12:59:57",5716,49.99,19.49,109430,1,1
5717,"2013-07-09 14:28:24",5717,49.99,19.49,109459,1,1
5718,"2013-07-09 15:39:54",5718,49.99,19.49,109484,1,1
5719,"2013-07-09 16:30:43",5719,59.99,22.49,109505,2,1
5720,"2013-07-09 16:41:25",5720,59.99,22.49,109510,2,1
5721,"2013-07-09 16:41:45",5721,49.99,19.49,109509,1,1
5722,"2013-07-09 16:43:15",5722,49.99,19.49,109512,1,1
5723,"2013-07-09 17:06:57",5723,59.99,22.49,109521,2,1
5724,"2013-07-09 17:37:50",5724,49.99,19.49,109529,1,1
5725,"2013-07-09 20:55:13",5725,59.99,22.49,109592,2,1
5726,"2013-07-09 21:09:22",5726,49.99,19.49,109596,1,1
5727,"2013-07-09 23:22:58",5727,49.99,19.49,109620,1,1
5728,"2013-07-10 04:42:56",5728,49.99,19.49,109653,1,1
5729,"2013-07-10 07:55:24",5729,49.99,19.49,109680,1,1
5730,"2013-07-10 09:13:58",5730,49.99,19.49,109694,1,1
5731,"2013-07-10 10:25:24",5731,49.99,19.49,109725,1,1
5732,"2013-07-10 12:12:42",5732,49.99,19.49,109763,1,1
5733,"2013-07-10 12:18:48",5733,49.99,19.49,109768,1,1
5734,"2013-07-10 12:19:55",5734,49.99,19.49,109766,1,1
5735,"2013-07-10 12:34:28",5735,49.99,19.49,109781,1,1
5736,"2013-07-10 12:50:44",5736,59.99,22.49,109782,2,1
5737,"2013-07-10 13:01:58",5737,49.99,19.49,109790,1,1
5738,"2013-07-10 13:57:01",5738,49.99,19.49,109815,1,1
5739,"2013-07-10 14:23:00",5739,49.99,19.49,109830,1,1
5740,"2013-07-10 15:16:11",5740,49.99,19.49,109847,1,1
5741,"2013-07-10 15:37:57",5741,49.99,19.49,109857,1,1
5742,"2013-07-10 18:07:01",5742,49.99,19.49,109922,1,1
5743,"2013-07-10 18:24:52",5743,49.99,19.49,109925,1,1
5744,"2013-07-10 18:31:44",5744,49.99,19.49,109929,1,1
5745,"2013-07-11 01:20:05",5745,49.99,19.49,110014,1,1
5746,"2013-07-11 01:22:51",5746,49.99,19.49,110013,1,1
5747,"2013-07-11 02:31:22",5747,49.99,19.49,110023,1,1
5748,"2013-07-11 03:59:22",5748,59.99,22.49,110035,2,1
5749,"2013-07-11 04:36:48",5749,49.99,19.49,110037,1,1
5750,"2013-07-11 06:38:00",5750,59.99,22.49,110046,2,1
5751,"2013-07-11 07:19:01",5751,49.99,19.49,110055,1,1
5752,"2013-07-11 09:23:39",5752,49.99,19.49,110072,1,1
5753,"2013-07-11 10:07:28",5753,49.99,19.49,110085,1,1
5754,"2013-07-11 10:10:58",5754,49.99,19.49,110086,1,1
5755,"2013-07-11 10:21:36",5755,49.99,19.49,110093,1,1
5756,"2013-07-11 10:36:35",5756,49.99,19.49,110101,1,1
5757,"2013-07-11 11:02:34",5757,59.99,22.49,110109,2,1
5758,"2013-07-11 11:05:22",5758,59.99,22.49,110114,2,1
5759,"2013-07-11 11:15:43",5759,49.99,19.49,110117,1,1
5760,"2013-07-11 11:27:54",5760,49.99,19.49,110122,1,1
5761,"2013-07-11 12:19:30",5761,59.99,22.49,110138,2,1
5762,"2013-07-11 12:59:25",5762,49.99,19.49,110156,1,1
5763,"2013-07-11 13:54:02",5763,59.99,22.49,110184,2,1
5764,"2013-07-11 14:06:28",5764,49.99,19.49,110188,1,1
5765,"2013-07-11 14:22:28",5765,49.99,19.49,110197,1,1
5766,"2013-07-11 14:29:58",5766,49.99,19.49,110198,1,1
5767,"2013-07-11 14:57:24",5767,59.99,22.49,110209,2,1
5768,"2013-07-11 16:03:32",5768,49.99,19.49,110224,1,1
5769,"2013-07-11 17:30:12",5769,49.99,19.49,110247,1,1
5770,"2013-07-11 18:06:51",5770,49.99,19.49,110259,1,1
5771,"2013-07-11 18:45:29",5771,49.99,19.49,110272,1,1
5772,"2013-07-11 18:59:00",5772,49.99,19.49,110275,1,1
5773,"2013-07-11 21:09:49",5773,49.99,19.49,110313,1,1
5774,"2013-07-11 21:52:39",5774,49.99,19.49,110318,1,1
5775,"2013-07-11 23:43:44",5775,49.99,19.49,110333,1,1
5776,"2013-07-12 01:06:52",5776,49.99,19.49,110346,1,1
5777,"2013-07-12 02:47:54",5777,49.99,19.49,110360,1,1
5778,"2013-07-12 06:29:18",5778,49.99,19.49,110379,1,1
5779,"2013-07-12 09:15:37",5779,49.99,19.49,110395,1,1
5780,"2013-07-12 09:29:51",5780,49.99,19.49,110401,1,1
5781,"2013-07-12 11:34:17",5781,59.99,22.49,110440,2,1
5782,"2013-07-12 12:30:04",5782,59.99,22.49,110458,2,1
5783,"2013-07-12 16:37:45",5783,49.99,19.49,110548,1,1
5784,"2013-07-12 16:51:36",5784,49.99,19.49,110552,1,1
5785,"2013-07-12 17:35:11",5785,49.99,19.49,110562,1,1
5786,"2013-07-12 17:52:54",5786,49.99,19.49,110566,1,1
5787,"2013-07-12 20:18:24",5787,49.99,19.49,110593,1,1
5788,"2013-07-12 21:02:44",5788,49.99,19.49,110600,1,1
5789,"2013-07-12 21:41:53",5789,49.99,19.49,110606,1,1
5790,"2013-07-12 22:44:25",5790,49.99,19.49,110612,1,1
5791,"2013-07-13 00:48:22",5791,49.99,19.49,110622,1,1
5792,"2013-07-13 08:50:19",5792,49.99,19.49,110652,1,1
5793,"2013-07-13 09:24:29",5793,49.99,19.49,110657,1,1
5794,"2013-07-13 10:49:50",5794,49.99,19.49,110665,1,1
5795,"2013-07-13 10:54:05",5795,49.99,19.49,110666,1,1
5796,"2013-07-13 22:21:47",5796,49.99,19.49,110738,1,1
5797,"2013-07-13 23:38:49",5797,49.99,19.49,110747,1,1
5798,"2013-07-14 00:44:05",5798,49.99,19.49,110755,1,1
5799,"2013-07-14 03:06:30",5799,49.99,19.49,110764,1,1
5800,"2013-07-14 03:39:32",5800,49.99,19.49,110768,1,1
5801,"2013-07-14 10:27:27",5801,49.99,19.49,110796,1,1
5802,"2013-07-14 11:16:05",5802,49.99,19.49,110801,1,1
